all Averages:
winloss = 0.5
pts = 22.89453125
yards = 351.107421875
to = 1.587890625
home Averages:
winloss = 0.572265625
pts = 24.05078125
yards = 351.3515625
to = 1.54296875
away Averages:
winloss = 0.427734375
pts = 21.73828125
yards = 350.86328125
to = 1.6328125
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 256
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
ATL,0.6762881120974358,24.032260722432774,356.6640166983532,1.7187871869658393,5,13,13,21,0.30971173810808295,21.11974452935045,365.09623948478264,1.887504505690461,5,11,21,7,0.4483449455394267,22.806320833943936,355.48847068841485,1.3899631306217248,28,17,12,4,0.5539098051630513,23.140079864467985,366.57610626932967,1.5076647304950268,28,22,30,24
JAC,0.23087845885295416,17.24945610513796,301.31255905277226,1.4797862709785052,31,30,30,16,0.7557942909736509,26.15269662616423,392.3533026965938,1.8134133013971034,31,28,30,9,0.5541655383190079,23.765162714316595,337.803181676842,1.6011370848054551,7,7,28,19,0.44741631276238397,23.781560998542183,351.96479572911574,1.7410694305928414,7,28,18,7
TB,0.3394755152695965,26.545635880796503,366.7688203450126,1.1516513627239187,25,6,10,9,0.646916602556622,25.473083875547335,369.01552619272763,1.5980197949873813,25,24,22,16,0.459437979673078,22.783530571668955,362.1694895115262,1.6160572122531718,26,18,3,20,0.5424245034087006,22.52712863263543,336.0886180511103,1.430682413323595,26,16,5,27
DAL,0.558375438062128,25.89843132547454,367.3043550864767,1.3134182526489901,14,8,9,11,0.4283034098367897,25.645360840227696,364.06774831043,1.1916821122659536,14,26,20,26,0.45436678111637196,22.193722699230406,349.6392702389826,1.525011728517389,27,22,17,12,0.54725635856477,22.32997682286776,346.37592937146417,1.675650709279106,27,12,11,10
BUF,0.37779422793474793,21.47779335575637,329.57516411860115,1.8054287230762747,21,20,26,22,0.6084995929386909,23.27314842312562,329.54087214394167,1.78073957089225,21,19,7,11,0.5560053314934259,23.487309005640796,354.8155794401928,1.2436275476066272,6,8,13,2,0.44595544854113217,22.41114714284766,359.2081772315174,1.6051441491754552,6,15,25,14
MIA,0.35602159628292074,18.813299011506952,297.6624898305042,1.4369829245176633,24,26,31,13,0.6306424383162295,20.00551389871355,336.7193688038411,0.9887279100993897,24,7,9,28,0.5304741215027955,25.00952007750429,359.9224416323003,1.3537107244257196,11,2,4,3,0.47116383147811347,21.770004268048574,348.21963359682485,1.7222766927074,11,6,13,8
MIN,0.5171388201180442,21.082500647994337,324.32116524447684,1.4211860563131884,16,21,27,12,0.46957738725105,22.536751869105707,391.49994302929133,1.3574921587052255,16,15,29,22,0.5571936607243037,23.326478563381443,333.73607359397363,1.6456706212545726,5,11,30,22,0.44439211948666146,22.407039292036522,349.5691544130155,1.8698300622434436,5,14,16,2
NO,0.5608398821732977,28.6367180313303,415.81143982355064,1.8826046158951473,12,2,1,23,0.4255889407483784,26.622310639204134,397.30725762255474,1.683973135700924,12,29,32,14,0.6549804508939288,25.343222337223928,359.4888662570245,1.4906234374525689,1,1,5,8,0.34684532709239224,20.470839194786393,333.1289720319388,1.8170274141384408,1,1,3,5
HOU,0.7153422989744425,24.87537725545941,376.9307133430274,1.134718485587254,2,11,7,7,0.27103563982184764,23.22847967837842,370.07176867939194,1.922509592704599,2,18,23,6,0.4966630778096235,23.454418306149364,342.1148894428538,1.574953370146755,17,9,25,16,0.5052135843020835,25.005680459351268,375.0521979221595,1.6324344477808426,17,31,32,12
CAR,0.37169462985369006,22.123655417421922,369.03681933030373,0.9223823426648434,22,17,8,3,0.6145876526914109,23.383510625987824,349.2015483501784,1.45156506482958,22,20,14,18,0.48078836545506476,23.291328860510642,353.8622550695262,1.6521066052034354,21,12,14,24,0.5211839529078313,23.12712516764274,348.15837005972753,1.5701339424044733,21,21,12,17
