all Averages:
winloss = 0.5
pts = 22.28515625
yards = 345.97265625
to = 1.564453125
home Averages:
winloss = 0.57421875
pts = 23.9453125
yards = 352.3828125
to = 1.4609375
away Averages:
winloss = 0.42578125
pts = 20.625
yards = 339.5625
to = 1.66796875
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 256
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
MIN,0.27301585343995616,22.31361285550132,337.1280645758573,1.8152632820102919,28,16,19,25,0.7127860310311528,27.713954173777513,347.3148105108569,1.378813601806152,28,30,15,20,0.45563582920379775,21.188875098252005,339.216525358848,1.4999143205308236,26,26,22,9,0.5464994440143877,22.295959345803084,351.17661401148763,1.4552467780143625,26,15,23,24
DET,0.6299496759589353,28.48626697380564,391.45064923449615,1.5172105344626006,9,4,5,16,0.35603498316393467,24.25198925207815,361.21680464475844,2.0200760187776092,9,20,20,6,0.6035416868356822,24.304383276843126,357.2863424079587,1.127311609580013,2,2,5,1,0.3984108117307421,21.640295661801872,354.4081256713547,1.8207645453846442,2,12,27,5
STL,0.33372792665841944,19.61230074164164,314.06285468246426,1.0302566601813292,27,25,27,4,0.6526354692224019,25.238685508396454,358.0084364612561,1.5265566514774176,27,26,19,16,0.6011546309625166,22.955474136970224,348.966199470569,1.377729898518186,3,12,16,4,0.40041913084595626,19.89158780633371,329.1675511214877,1.8954717912836097,3,2,3,2
BAL,0.6660585211246309,25.274161954944844,341.0021238779706,1.4156555458188427,6,9,18,11,0.3201934011131752,17.925260915034304,320.4455621502914,1.5220466393574128,6,4,6,17,0.47962178174323267,21.87915312850449,349.1764077198663,1.6953319306454753,20,19,13,26,0.5220634537082555,22.203450692866053,351.5626304986523,1.344546613572254,20,13,24,27
CHI,0.4503379893982204,19.850628251047187,277.15448163740786,2.1372030806951887,18,23,31,28,0.5353935289438514,20.058612970500636,326.08780836608,2.14550522037448,18,9,10,4,0.5006382660633266,24.00641729188582,349.0458568543978,1.7359703591789999,13,4,15,28,0.5015673732838959,23.572537110216253,362.8983571778604,1.8699907979215067,13,28,32,3
GB,0.7132498677094313,29.89897770825639,381.8870828737105,0.8834151961710448,4,3,6,2,0.27186206813008945,24.670333737937185,390.6847401229743,2.187329067159257,4,23,31,3,0.5087565463443766,20.46280105363291,337.22485664668443,1.5131627495940156,11,29,24,10,0.4941173428983258,21.21873657874599,337.09568892582973,1.6549976878368606,11,8,9,11
CLE,0.2172706611084353,18.575037608927673,333.5478685095343,1.653745209042105,29,27,20,19,0.768726145365203,21.355612613144512,366.5394841540435,1.6399898494426155,29,12,22,14,0.6037363286513417,21.163669519262832,344.98039984958643,1.7673911084841598,1,27,20,29,0.39820402256431425,19.00389818479743,308.92817198364185,1.4902449830326698,1,1,1,21
MIA,0.5002595188975228,22.13165889826758,325.0460606168293,1.5102987549324733,16,17,22,15,0.4859196822337777,20.51013890461452,343.59885515355467,0.914498281021494,16,10,14,31,0.4974956836286619,21.663930951019744,347.7939431342427,1.9155901002185423,14,21,18,31,0.5043109403222608,22.398588369296967,348.333119254228,1.848470857608822,14,17,16,4
NO,0.5942149458094026,32.08564910563698,460.45382312399937,1.4114669295396958,12,1,1,10,0.39174976805640044,24.039877519397322,383.7296527135935,0.9741126040664816,12,17,29,29,0.4891513490404137,23.094062636481823,352.12478114307567,1.5388618107678524,17,10,10,15,0.5128210947830776,23.248334175488615,346.5377007688563,1.7219012267623284,17,24,15,8
HOU,0.5744911502565548,24.096333374051653,371.5800849854889,1.04976747732134,13,12,8,6,0.4116822331003087,16.738794168457773,290.33161122861094,1.8103446820464024,13,2,1,11,0.4433202769860418,21.21726826561023,324.5165055849547,1.5186124555818208,27,25,32,11,0.5584434973463888,21.467536911132328,335.6037488388872,1.581417095713758,27,9,6,14
