all Averages:
winloss = 0.5
pts = 23.0546875
yards = 347.123046875
to = 1.546875
home Averages:
winloss = 0.591796875
pts = 24.90625
yards = 356.44140625
to = 1.453125
away Averages:
winloss = 0.408203125
pts = 21.203125
yards = 337.8046875
to = 1.640625
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 256
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
OAK,0.34857441658874067,19.64410794771274,322.60442419562435,1.6830682611384424,25,28,26,23,0.6338714076599017,23.59137246776835,347.0022595454585,1.5248686482226121,25,17,13,18,0.5548763954570649,25.329203490373573,364.2887231515209,1.3231072963985966,5,3,4,2,0.44775794901526217,23.852295216663748,361.2437052259101,1.5090973719540346,5,23,31,18
DEN,0.8717138711954239,34.83592048632377,433.4412683288343,1.96207546497216,1,1,2,27,0.11074588318972155,22.799859553945815,368.03454409726817,1.9860569028949144,1,12,23,6,0.5682581675055223,24.253143547711034,346.9561982503709,1.288925492478758,1,10,15,1,0.4343622468303019,23.120724410176386,359.19222643705103,1.6741507303167795,1,18,29,8
CAR,0.8235526392744933,24.566410944562342,323.5027364223763,0.971108705709561,3,11,25,5,0.158701653624656,14.408639940237528,301.5300932490937,2.0199086242686675,3,2,3,4,0.4530929445814823,22.025592631634485,329.4835079562998,1.482608616545118,25,25,31,10,0.5497329312403378,22.59949956441251,359.51404424633586,1.8380118182472924,25,11,30,2
ATL,0.3202947500235878,22.983398153100662,356.94624420707595,1.5580458877134886,27,15,12,16,0.6621977603453653,28.21577857135332,390.65853179141254,0.8980592852119762,27,31,30,30,0.5223340938016461,22.375622272921078,343.93202189134524,1.5539052907905053,13,19,20,17,0.48025356455037027,21.807825516313397,339.7179240766767,1.5999213120478637,13,4,6,13
MIN,0.45545173004994516,23.82043997567687,360.0774438092141,1.5259576225913014,17,13,11,15,0.5268948981798225,26.10122189199178,384.053023812985,0.7522967974660797,17,25,29,32,0.511956525853771,25.230688570049132,372.6883377087156,1.6506232608133098,16,4,2,24,0.4907770146374307,23.626672263418392,351.07742082957384,1.663340951215793,16,22,22,9
CHI,0.3766342490958915,22.503160106150748,375.0022893192722,1.363759235310079,23,18,8,13,0.6060036918581537,26.058939974448258,377.5936375533024,1.5813658068356278,23,24,27,15,0.4369863258530865,22.678242176324083,349.14916668953333,1.551061662341318,28,17,13,15,0.5655160957945655,24.624367570911467,355.2233586436581,1.321094662648063,28,30,27,32
WAS,0.16239165639062858,20.01266784820622,363.7341552862882,1.6663656375476361,31,27,10,21,0.8207283663412173,28.444278220951624,357.3504205962432,1.1360468657544227,31,32,18,26,0.4169350764334904,22.697928441379165,341.903196044664,1.7415558180009125,31,16,22,29,0.5850250695556332,24.195271967234923,354.9894016613828,1.3798646633758977,30,28,26,27
BAL,0.4167561066901196,18.70511544697775,308.83261198799926,1.5614594864948037,21,30,27,17,0.565970018764292,20.244849087117046,316.5582395446285,1.0232453520533915,21,9,8,29,0.43946266088988906,22.114413134291617,346.5323535209169,1.6492748614922457,27,23,16,23,0.5628913823766688,24.87180808099912,349.1814726552078,1.3987066778770585,27,32,20,26
GB,0.3890418406189611,21.118701659056157,377.4508411696328,1.6451809334512837,22,22,7,19,0.5937048371956495,24.105132550234487,367.4333949375643,1.157744540874136,22,19,22,24,0.5112500789086115,25.51085420001793,369.8347339063064,1.7846395962133,17,2,3,31,0.4910834119977472,24.319701245751972,341.80684372014207,1.4213976443913496,17,29,9,23
DET,0.5261618620006309,26.958060682593505,440.42418758523365,2.626827335240555,12,4,1,32,0.4567302358683082,24.00794031132582,313.2876240667004,1.2477409658956313,12,18,6,22,0.5088908186057908,22.74393105305512,350.83396829360674,1.472861691556035,19,15,11,9,0.49329725224623966,22.794032924593527,337.95199243976015,1.4734720517093935,19,14,5,21
NYG,0.4482749093274764,19.280824411245753,299.8683120282216,1.888630192865714,18,29,31,26,0.5340890930333888,22.01547527494968,327.01818933610014,1.6670270995607792,18,10,10,13,0.4171615983970899,22.030261138878586,348.42382481947436,1.5506684282814196,30,24,14,14,0.5855545679630142,24.716518318398293,364.25945429848264,1.48793061217262,31,31,32,19
NO,0.705120799302597,25.76395703390084,382.15998451564235,1.2537718599360124,6,7,6,12,0.27761423050198863,20.215953463235067,330.39499849406684,1.334168012114904,6,8,11,20,0.548854143631069,24.49014123992501,338.5973587475459,1.3850178033423695,6,7,26,4,0.4534909952853145,22.491166558666762,353.4464087521279,1.5730475970931082,6,8,25,14
TB,0.4208942168038787,20.644717252633964,306.3899427252769,0.9490230285463191,20,25,29,4,0.5617939934465686,23.362497648557476,349.68176053426555,1.97523837229705,20,13,14,7,0.5273489155038663,24.4890615265614,358.2013894847486,1.6533214685193398,12,8,5,25,0.4750430429666558,22.47813712374317,344.1329748149707,1.69893832996276,11,7,14,7
PHI,0.6172314956106433,24.716876333254014,388.884487024568,1.0863265276098824,10,8,4,8,0.36545290352211335,22.323821641342334,398.7292344838644,1.6728033674735223,10,11,31,12,0.4314623857791624,21.633522453426156,345.0400543237385,1.7563762019955618,29,31,17,30,0.5709333838090502,23.373484438055428,343.7449450761235,1.5257459906144155,29,19,12,16
JAC,0.2906986559210339,15.700657241101961,307.7483702930924,1.6780934432899992,28,31,28,22,0.6921467523178982,27.900066176745828,369.0265287209719,1.2363153849337616,28,30,25,23,0.43977478266579145,22.340036666259323,353.5364900199073,1.738932293892868,26,20,7,28,0.5625201716969737,23.930021620657122,341.83165137588406,1.4095099831101532,26,25,10,24
NYJ,0.33896245429765604,15.42323668607914,286.7854391710957,2.360109195401349,26,32,32,31,0.6434407617580077,26.573099299361893,353.36681074354476,0.8298582935210177,26,27,17,31,0.5119850059343151,22.011805525848978,342.0017049430246,1.6178367467808983,15,26,21,21,0.4907521406117184,21.77263238419576,340.9685179056678,1.4406083882360798,15,3,8,22
IND,0.6344454646749604,21.349042954987144,326.94397017038006,1.0886790954743162,9,20,23,9,0.3476605148344582,24.630633652075563,380.09246848665,1.6009817651425295,9,22,28,14,0.5275512546172675,23.782641767961348,344.63741615175786,1.5337406617850489,11,11,18,13,0.47542293459428325,23.59560663566448,337.6923122306668,1.7140344127959581,12,21,4,5
TEN,0.36255266227893845,22.357618241896354,341.4776598490605,1.705331102267083,24,19,17,25,0.6205659069097307,25.43867844440939,335.74547349773127,1.4768331058016917,24,23,12,19,0.5446482966022919,21.7832128710134,337.4598201118948,1.5304965912397481,8,30,28,12,0.45731330293000816,22.522089370618332,345.71014493799476,1.7076955269919134,7,9,17,6
