all Averages:
winloss = 0.5
pts = 22.20769230769231
yards = 347.6826923076923
to = 1.573076923076923
home Averages:
winloss = 0.573076923076923
pts = 23.942307692307693
yards = 354.53076923076924
to = 1.4615384615384615
away Averages:
winloss = 0.4269230769230769
pts = 20.473076923076924
yards = 340.8346153846154
to = 1.6846153846153846
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 260
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
GB,0.8047210733555182,33.03039308928663,401.4572293826028,0.7998946204088253,3,2,4,2,0.18098012450510162,25.540844910501455,427.5186812051737,2.268112411238402,3,27,32,3,0.49086856544526125,21.2453509208135,353.0339080425988,1.6192780736390642,19,22,11,19,0.5115529765728086,22.561692033308837,347.8590426810301,1.6127401536694914,19,20,18,13
NO,0.8762419211534997,33.66278790038633,481.32172855963506,1.1383189393386048,1,1,1,6,0.10974262688603767,19.327649274259663,353.8576684135148,1.0217283605378744,1,8,19,30,0.5132751327954436,24.189786083239877,357.64743569454976,1.7333467988120184,12,2,8,27,0.4887477159076715,23.926447333584484,362.79384526564706,1.7521334351564368,12,30,31,6
TB,0.06662634712956225,16.687137428984634,297.9298878639453,2.8578768937214956,32,29,29,32,0.9196116688701497,33.007362997438534,382.2734662244128,1.6668675736066378,32,32,28,14,0.4498839344666097,23.51977944618321,360.3807179074695,1.2434167349662506,25,5,5,1,0.552000789412368,23.454545142516245,344.262942205997,1.5486119323089391,25,29,11,17
DET,0.6296969533600751,29.613564328036418,388.5057305304804,1.5029878812194766,8,4,6,17,0.3565085011955904,22.657537703570398,386.6377401541324,2.4708738582690644,8,17,29,1,0.6370294122230873,27.963223172351604,390.9027730755979,1.2825574905481847,1,1,1,2,0.36477252996389975,22.65832245673095,370.4497176728896,1.683171286238105,1,22,32,7
CHI,0.4377291638279289,18.899845056304304,284.9644501642846,2.0616049660712004,20,25,31,28,0.5484533998391926,20.816187277322708,331.67501239794194,1.5886788749628167,20,12,10,16,0.5051461152717569,23.091981061901016,342.55636262051564,1.8188821338549224,15,7,20,30,0.49679406093981116,22.658636259684044,354.56803763540586,1.9135625522370074,15,23,27,2
ATL,0.4917256992232678,22.470552059760323,363.25561778659073,1.0301566935530297,16,14,10,3,0.49429296194850275,22.957687306206456,331.65960163237514,1.7351197573385795,16,19,9,9,0.40385418636559456,21.788529786061925,355.0470023308432,1.6963073796950687,31,19,10,23,0.5981345492052875,24.246404117355183,356.10728848819423,1.5121045403395894,31,32,30,20
HOU,0.5273483862800037,23.092899089596592,360.01765626977635,1.381029720905235,14,11,12,14,0.4590745689836953,18.5070222399115,313.5359181910088,1.699205989781718,14,5,4,10,0.44875105551779215,20.71475594691059,331.15359198843777,1.6073122945195957,27,25,29,18,0.5528333859611614,21.950656570934903,339.7623087451509,1.46673626511222,26,14,8,26
IND,0.33931774283650273,17.458183481182708,312.617565742466,1.5757891390841525,25,27,28,19,0.646942858845476,22.4388770601191,348.028451065551,1.2898771455074525,25,15,16,22,0.5656506395041343,22.969227364431795,342.54663741160203,1.469687615098147,6,9,21,7,0.43621149869257664,20.922988231447704,330.29512877111586,1.798476894561296,6,5,3,4
CLE,0.2509203359683151,15.683557562506227,320.5619972319521,1.353923070585264,29,30,24,13,0.7351881321941873,19.542279163858346,349.74772540677327,1.214082398052351,29,10,17,24,0.5868880980321388,20.775483453208977,341.56039855513234,1.7043610437937216,4,24,22,24,0.4151261736840486,19.27741187334074,310.9398795713845,1.399427594646035,4,1,1,28
CIN,0.36709366410416266,19.293851173608005,334.0302451008989,1.8880844058981487,23,24,20,23,0.6189024775862882,23.28040856719711,336.75570217405254,1.0042417281964933,23,22,12,31,0.4543524436735904,21.28551115969442,340.77317055392075,1.6574226034582173,24,21,24,21,0.5476588113786114,21.264326218400004,329.3906387051172,1.3916826283019441,24,8,2,29
