all Averages:
winloss = 0.5
pts = 22.8876404494382
yards = 349.32771535580525
to = 1.554307116104869
home Averages:
winloss = 0.5749063670411985
pts = 24.119850187265918
yards = 351.5805243445693
to = 1.5243445692883895
away Averages:
winloss = 0.4250936329588015
pts = 21.655430711610485
yards = 347.0749063670412
to = 1.5842696629213484
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 267
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
NYG,0.5116681655331856,25.801079750176484,330.1394963636921,1.2725349701289548,15,9,21,11,0.4740567597214793,21.290211068152594,378.581946571962,1.6745644008310046,15,13,28,12,0.5092149352940213,23.796646817802827,365.25770696794984,1.5495674867573428,20,12,6,18,0.49288553810481006,23.19959430192472,349.9187254493425,1.441623080133386,20,19,18,25
DAL,0.49926602965683314,24.736493474376637,369.98046878018255,1.4567580490394358,16,12,10,16,0.4865148537043241,25.8504837930073,377.7950741650387,0.8511512914522248,16,28,27,31,0.5235972279407308,23.220477002809304,364.6402880712393,1.6028713119614704,17,16,7,25,0.4784472873516081,23.255950610076777,347.31773523020684,1.5793266649385918,17,21,15,16
NYJ,0.2877794074524998,14.177350273554158,298.11775304405603,2.4577075978281764,26,31,27,31,0.6978887998227199,22.60858408443051,309.7426634594815,0.9254256308419819,26,18,3,28,0.46860805387482996,22.681985686786895,337.3487989413362,1.7640649311654442,26,23,31,32,0.5335491375034465,23.9226222056798,348.72428971341515,1.680173934791246,26,30,16,9
BUF,0.3569648123111908,21.106649952007487,340.35804550546345,2.3532162639974716,24,19,17,29,0.6289303683904522,25.41421105245719,349.76734456104936,1.2688975183166116,24,26,19,24,0.5311813813118254,21.927276280628853,342.81404127581766,1.3951347562439373,15,26,23,6,0.4707488366400279,21.26966773576615,351.57471877869443,1.3257406678393209,15,5,19,30
MIN,0.7419330294766735,24.648763990071046,353.282601000477,1.3515484302888516,4,13,15,12,0.2438302748953074,20.52455302877106,356.7243896599881,1.5141852301076069,4,9,21,16,0.6151405342394004,24.555290420471337,349.47554908880096,1.3283482243861018,2,8,20,3,0.3868033293487594,21.675966536060464,339.9229646598381,1.5927290532032288,2,6,6,14
JAC,0.19780302253814516,16.292056836627275,329.5930777015015,1.6554267005063799,29,28,22,22,0.7881698254791034,26.322854589406777,356.16126838416415,1.5007892355255124,29,30,20,18,0.5832113932986692,23.820566340635338,342.4150863621761,1.5162419480235458,5,11,24,15,0.41864115733757823,22.758323197665284,352.3426243556369,1.7877065184002474,5,15,20,3
CLE,0.3149034029515201,17.79791612805252,331.7829363913597,1.841920819261658,25,26,20,26,0.671305439773485,23.448704561435033,335.35048781700516,1.3401817135691445,25,20,12,23,0.47900335312966286,22.89882557195138,360.2081265406134,1.7200970585568478,25,21,8,30,0.5226132027988283,23.464038792977924,330.91542717214236,1.4112737924820349,25,25,3,27
PHI,0.2367115801954686,17.848960795669417,335.39920031513236,1.9047549672378832,28,25,19,27,0.7492197522461969,26.107998749887187,323.28134247469745,0.9031473780116256,28,29,6,29,0.5659451922542637,26.991408731031164,370.96579776198234,1.2987368026443167,9,1,2,2,0.43594887395756715,22.620795082053505,356.62681625144165,1.7356038516380443,9,13,24,7
CHI,0.4624895979969055,20.252709588130053,305.259960135432,1.4098072196778042,18,23,26,13,0.5234886532213194,19.53138300941066,320.54494463459525,2.4355732044131853,18,7,5,1,0.4415342895525823,22.411710422112286,356.17390844276554,1.5641115543577004,29,24,12,19,0.560312857882689,23.891658863152394,354.0874241365697,1.3703734916679835,29,29,22,28
IND,0.6762932815495297,20.44850792900271,337.5580731441767,1.4959278426435485,8,22,18,18,0.30954105369023505,21.893104234412434,383.0034309576629,1.5439599686107242,8,15,31,15,0.5062414151736765,22.814320610828005,355.9701150694908,1.4514046562855043,22,22,13,11,0.49563141754669937,23.819296333277283,357.84623798403885,1.4123791662160143,22,28,27,26
