all Averages:
winloss = 0.5
pts = 23.552734375
yards = 348.275390625
to = 1.552734375
home Averages:
winloss = 0.611328125
pts = 25.30859375
yards = 356.296875
to = 1.47265625
away Averages:
winloss = 0.388671875
pts = 21.796875
yards = 340.25390625
to = 1.6328125
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 256
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
SEA,0.6491879738926898,24.872562135361513,328.6868840640941,1.0937896056363114,8,13,23,5,0.32914004381648815,15.106143017831826,292.54005618651036,2.540858751203362,8,1,1,1,0.46911079081858054,22.13603466972693,329.33479883242273,1.5727138510159282,22,28,32,16,0.5344669280061832,22.893519374142237,346.88636242770286,1.5782218557693612,22,8,19,13
STL,0.5510812460160912,23.550429380273094,318.8350523585491,0.9696078179949612,13,16,26,3,0.4274633976079186,20.469076331314294,354.7802886214034,2.1613029338173595,13,9,19,5,0.5602389093493172,23.95868858919364,331.0853068806076,1.3506396141494708,5,12,31,4,0.4431221835606146,21.96633359175258,340.05939260346224,1.9010802580784807,5,5,7,1
SF,0.8099515471524072,26.794953829486072,331.2017278946224,0.6686331224375404,1,7,20,1,0.169309643120157,15.137712137922788,298.4223719077404,1.887437458945322,1,2,4,8,0.5210008379859616,24.750135690891966,345.9117038075949,1.4497267244296554,11,5,17,8,0.48171670936480915,23.432567094821323,344.110879816078,1.7579887775500316,11,15,13,3
ARI,0.7158921120645251,26.489010243221287,348.84173259486886,1.8494222362369892,4,9,12,24,0.2631367211754411,18.639807901249437,294.6802798408181,2.0422793250231592,4,4,2,6,0.4425007213468747,23.12772290142857,347.28448004331244,1.397534942627101,26,19,15,6,0.5604491830364942,23.19256964403961,346.26972950166464,1.5066310351588588,26,13,17,18
NO,0.6742577031721597,26.42968351822286,392.2953332293788,1.2702274892891068,6,10,4,11,0.30492499387183325,19.05890843494585,297.92955677010866,1.2245604324966355,6,5,3,26,0.6160289678160757,24.29112280524533,335.52401745897015,1.2056481598706528,1,11,28,1,0.38669407167387315,20.944970977109335,345.6246055442889,1.6915776706383983,1,1,16,5
CAR,0.7501943083591219,22.20735333490633,314.0185227383037,0.924688608989795,3,22,28,2,0.22846468911764656,17.63251430145923,316.5942380099144,1.553080064305746,3,3,8,18,0.4972469414740009,23.005075818650766,344.83168706017295,1.5430281777157062,15,20,19,14,0.5059997975831723,23.030957825090777,342.4209506872992,1.5442252046204972,15,11,11,15
PIT,0.6456833610131401,29.447089085377094,356.2305436003837,1.1260008219517967,9,4,10,6,0.3329523798383481,26.253900422763834,346.088648220829,1.4523441278266396,9,20,15,21,0.559926264767703,21.895946437517516,346.90085968526455,1.576373730192366,6,30,16,17,0.44334373091475054,21.39613431342155,332.97301594453245,1.61817117223465,6,3,2,9
CLE,0.21622319962763847,21.131489264170312,342.6422742665655,1.9057205544972513,30,23,15,25,0.762491526863963,27.36554742368829,345.82216283278353,1.2631252956809123,30,24,13,25,0.5757689848486396,24.38000470280619,363.027709098556,1.6013128587112821,3,9,5,20,0.42742202519370065,23.719660471057274,362.655487589147,1.6406999095982377,3,17,29,7
DEN,0.6970428786120652,33.49282942001314,429.1057711087978,1.6161863661227336,5,1,1,18,0.2824490118203301,23.289174737795044,325.00594974805495,1.7521548661725377,5,17,9,11,0.5029289339279133,24.338779369860617,361.8084547575851,1.3222077164762434,14,10,6,3,0.49955791326302645,24.247144661798878,361.5316017892742,1.388581256798611,14,19,27,25
KC,0.5273826442751951,26.65285796419498,328.90462279717417,1.5246856634265296,16,8,22,14,0.45168660164418034,22.05889497737236,373.10940463063906,2.2817165200325533,16,11,27,2,0.48012566928381495,24.597843638932535,369.3495609845901,1.5789555308893257,19,6,2,18,0.5227108213307514,25.64059458930452,363.40234773864137,1.3718754701755125,19,30,30,29
CIN,0.626888660711794,27.481444047571717,362.2390755718937,1.7531633801332904,12,5,8,21,0.3516486406370204,19.856698385976372,301.21130519941437,2.1741877954810738,12,7,6,4,0.4732325174025235,23.459424374853228,347.9754658093792,1.4587909735782523,21,14,14,10,0.5301359177826037,24.505389991688265,346.7945203376614,1.305766626761033,21,22,18,32
BAL,0.4324162783088261,17.513040566673247,326.3025429128277,1.982860707148741,22,31,25,27,0.5465743672211247,22.0940161694531,300.4342200999289,0.8926120223981255,22,12,5,30,0.4336475319538623,24.56429159329042,374.08789939595135,1.8807754968481265,29,7,1,32,0.5692675590501284,24.926643771620128,339.9329278365626,1.3764907437460745,29,25,6,28
WAS,0.05001788284886281,19.621226442565778,335.384426484202,2.5132361474593004,32,27,19,31,0.9289420229932439,29.868232620368637,345.9829522381484,1.655332657365118,32,30,14,15,0.4366909618454877,22.990597026580556,332.5285806355836,1.375336137521574,27,21,30,5,0.5663278699357406,24.5671409695869,377.491645328513,1.3790241683338444,27,23,32,26
DAL,0.4627301489167154,25.69932746188791,338.579499475923,1.1735152813141607,18,11,18,8,0.5156921967674055,29.323973500759664,405.07472296378876,1.382060666998664,18,29,32,24,0.41888054337473146,22.94997870116391,344.43791502452063,1.609223265100697,31,23,20,22,0.5846758485644827,25.983662893929186,354.4099721999462,1.6135918323523322,31,31,22,11
MIN,0.5278772830342731,26.87655839475974,349.1088514023264,1.63602785340588,15,6,11,19,0.45145765714050534,27.83462725125382,396.21940659318426,1.0971093607168192,15,25,31,27,0.609430447631476,26.53128672843071,367.63321949334716,1.565454898226157,2,1,3,15,0.39314034872768727,23.30082238323904,356.3027326377167,1.6990153167059638,2,14,25,4
GB,0.44808668304726273,22.785597675531427,358.32803539529743,1.6804782435410055,20,20,9,20,0.5311630362986657,26.882816625768704,367.675595427542,1.5719833577150157,20,23,25,17,0.4964145659127034,26.399383650111428,367.23321027633267,1.6695841947218704,16,2,4,28,0.5062414512753097,26.032045744872676,360.86596645278735,1.5323364526902106,16,32,26,17
SD,0.6608250135934748,24.82580989318228,387.8185576157588,1.2157148669877897,7,14,5,10,0.3174173474146319,19.191813341212367,332.2648029993248,1.418578839075511,7,6,11,23,0.5168956249849992,25.002547729657504,357.2792384945387,1.6490431614149723,12,3,9,25,0.4867677505408357,24.43482315498568,340.1165071727253,1.5976040887630427,12,21,8,12
OAK,0.24830278042216558,23.432664555740885,346.1129695949849,2.3673428645639425,29,17,13,29,0.7309823561882146,30.268522847044252,364.66923712780704,1.6971707638680713,29,31,24,14,0.5638729022515874,24.91981586645594,351.92638756354756,1.3194101313732927,4,4,11,2,0.4388206987613675,21.992601365072602,356.2480368784188,1.6260893041945594,4,6,24,8
NYG,0.39029992013942505,18.388086162407575,301.6585157179918,2.4788365135983215,23,29,31,30,0.5884001851666798,22.814485865900892,325.5045612418961,1.6009683896665128,23,16,10,16,0.42531245947270974,23.256796020159577,357.6365738290424,1.6684772997854136,30,17,8,27,0.5778931717551268,22.934745544100437,342.5923036801714,1.5044302007982777,30,9,12,19
PHI,0.639739052642448,29.749336657080164,411.2304275304143,1.2132432004067144,10,3,3,9,0.33914695244575066,23.63518884942544,358.6359009261372,1.7875632896224163,10,18,22,10,0.4618484320883037,23.215475890138045,360.83010772998693,1.6632111871494222,24,18,7,26,0.5411712993574391,25.5053003785125,369.6551343280304,1.3227982946279948,24,29,31,30
DET,0.2617595103302538,23.01843358740235,382.56522386604723,2.722674658713859,28,19,6,32,0.7170857151975043,26.655428615111795,346.63277373888627,1.0823178791004717,28,22,16,28,0.4540954406668707,21.398429099820582,344.23604111955257,1.6068573966101594,25,32,21,21,0.5490380714287063,23.903441297108984,341.26211940426896,1.4289576942374425,25,18,10,22
CHI,0.46904806767782414,25.20139431127977,370.9940115209928,1.4111845950025632,17,12,7,12,0.50973974589691,31.29277763561077,391.30550355435923,1.4254698170647377,17,32,28,22,0.4349193001607921,22.6436930176874,343.8454929514145,1.4530146511764952,28,26,24,9,0.5682716238878087,25.00039610760687,361.6394985675427,1.4100104614423006,28,26,28,23
IND,0.6396772785084508,22.528394487642718,340.0849736117759,0.9706557790089188,11,21,16,4,0.33931637581170376,20.77270893874828,351.3115270618082,1.699801601179126,11,10,18,13,0.4845094297868836,23.86466436152393,344.1652120265288,1.6263221346623342,18,13,23,24,0.5184026524269036,24.28102643378309,345.02539943784313,1.5696716447954162,18,20,15,14
HOU,0.08145965941360866,16.234066530341654,311.92710698677115,1.5856329407365535,31,32,30,17,0.8969124743936417,27.853184483636056,359.433668446719,0.6608002260859716,31,26,23,32,0.5318657859194542,23.28846910579928,344.1862465919072,1.623244135575213,8,16,22,23,0.4716678168072371,23.568483093982902,352.4214158680687,1.6697492520976351,8,16,20,6
BUF,0.43591860122736453,19.555559770049406,330.74402319500575,2.024918106122109,21,28,21,28,0.5426855862362527,22.69626046484884,314.46447548474237,2.0153295859776907,21,14,7,7,0.46377115406556974,21.83210681654048,333.58967381542107,1.587460150295124,23,31,29,19,0.539603396094148,25.171968813321186,354.0810766469996,1.4376798584937096,23,27,21,21
NYJ,0.4531762524299434,21.001665254373332,327.4414957806825,1.5720650542246175,19,24,24,15,0.5256069683744293,25.607093270633676,355.33954713847197,1.0258829108864855,19,19,20,29,0.5278643986893545,22.975794841550897,341.58747499958633,1.47090093740271,9,22,27,11,0.4752581170402144,21.23885125269316,332.37150844292125,1.613877104168013,9,2,1,10
TEN,0.3010647729227776,23.38950265157463,345.24627461519174,1.9347571301149866,26,18,14,26,0.677865791623157,28.36077778522511,348.34412266199763,0.8008424613040034,26,27,17,31,0.4771245008176307,22.8127623057677,348.3321829763377,1.7452091493985156,20,25,12,30,0.5258506711703764,24.64448913958885,355.206066038338,1.5428771051085954,20,24,23,16
JAC,0.3164724451274035,18.16307829951272,314.7951758810616,1.7728001261648445,25,30,27,22,0.6623516264165664,26.481644139943345,370.7225398644117,1.471275813641275,25,21,26,20,0.40063443448307634,21.94088221810555,344.87486540956513,1.8018628891439863,32,29,18,31,0.6024472305068953,25.177726204355256,339.59478154762115,1.3133184016743806,32,28,5,31
ATL,0.29520583039771875,23.574072349255623,339.55439039067744,1.7884431864951527,27,15,17,23,0.6833308120788295,28.81039148765874,392.0624503601813,1.7422781570956944,27,28,29,12,0.48658636170926467,22.23332599159604,348.0054279743299,1.5257089045790275,17,27,13,13,0.5167827323481287,22.32662376382987,340.582376038205,1.4929675294762554,17,7,9,20
TB,0.3894527680186567,20.724313175535954,269.5364298500884,1.1437509624206617,24,25,32,7,0.5895586943490275,22.753225040383086,343.14422405549925,2.183785757969809,24,15,12,3,0.5555386765118944,24.380849494191246,342.13922272957393,1.489347569372687,7,8,26,12,0.44735559765436317,21.540247295234813,334.9588191530688,1.8200562824118416,7,4,3,2
NE,0.7609166912686836,30.625958938232927,412.52244908121577,1.446228943363953,2,2,2,13,0.21792229069675348,22.61142674879865,392.59873516536663,1.829150216623805,2,13,30,9,0.5218857025536869,22.839206300777697,343.4556892207966,1.7101195139599348,10,24,25,29,0.4811810520148178,23.05067881786794,339.309803517851,1.4086557603065628,10,12,4,24
MIA,0.533428815790536,19.674599660856625,312.5591342951034,1.5855252286599675,14,26,29,16,0.44584151873917743,20.45541529458054,357.4908263105541,1.5486567108297233,14,8,21,19,0.509250063424391,23.344065192543077,356.0704059619636,1.4129854244883022,13,15,10,7,0.4934583396692305,22.991591852359743,344.80091696078694,1.3785805246402891,13,10,14,27
-----------------------------------------------------------------------------------------------------
ALL GAMES
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
SEA,0.6155678663944916,23.612213526856703,323.187425274982,1.1161084210181216,13,15,24,7,0.3844321336055082,12.398701306265858,291.61879085650423,3.0600196843486396,13,1,5,1,0.5665937271114383,23.958586148344104,325.48410260784937,1.4906621184054458,7,17,30,18,0.43340627288856126,21.429882612278934,322.7951276465145,1.600732370569067,7,5,3,12
STL,0.773045598038123,25.579694127323666,328.81214430021805,1.099946653540714,5,10,21,6,0.2269544019618768,17.464748011609892,346.91635468078357,2.446705334505471,5,8,17,4,0.6212397972914678,24.866321680425436,320.66597240409646,1.2224472555392982,3,8,32,3,0.37876020270853167,20.58925792139037,322.28256546873394,1.6998838845514597,3,3,2,7
SF,0.9276507200718271,28.832998612720242,330.54290731035616,-0.25342916842715496,1,5,20,1,0.07234927992817253,15.95898821233365,311.08783119247374,1.8234900280684694,1,3,8,12,0.525479344912816,24.682246918499747,336.3345775787814,1.4619174759562705,14,11,23,15,0.47452065508718355,22.887782569037785,357.8639552694072,2.3494037162768344,14,12,23,1
ARI,0.8770013417769962,28.604462988794314,351.4415918055632,1.6709372650513294,2,7,12,17,0.12299865822300377,17.420447322013942,284.31880977160074,2.1388275018637453,2,7,4,8,0.5219190932380059,24.35852549279418,354.7150252266812,1.3681587916758096,17,15,11,9,0.47808090676199355,21.39964679862427,342.94046160858625,1.8085677933955864,17,4,8,5
