all Averages:
winloss = 0.5
pts = 23.43445692883895
yards = 349.1441947565543
to = 1.5749063670411985
home Averages:
winloss = 0.601123595505618
pts = 25.02247191011236
yards = 357.69662921348316
to = 1.5318352059925093
away Averages:
winloss = 0.398876404494382
pts = 21.846441947565545
yards = 340.5917602996255
to = 1.6179775280898876
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 267
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
DEN,0.7999047655302355,29.27948752851464,415.8215789796329,1.413851596115908,3,3,2,14,0.18104280405054793,21.157054766453967,303.30491866002535,1.1680043431026537,3,9,4,29,0.6053453701712604,26.176052020644978,365.7302909885147,1.2795244300657695,2,4,4,2,0.39683936137447584,22.108492475990612,357.6260234128753,1.6826818188553407,2,11,24,8
BAL,0.43450722372127715,17.64767634275859,315.2036893881156,2.0890243294948245,18,29,26,28,0.5464549205031577,22.495971570520574,312.7880680497321,1.3286146910184007,18,13,8,24,0.4884007316016743,25.866163808303682,373.30797369192214,1.8529645393828287,22,6,1,31,0.514201412356111,24.366468131246116,337.99119233168744,1.5442956879884455,22,26,11,18
CHI,0.3844811773825354,24.31015423225984,361.3639922767921,1.571424232814722,24,14,11,17,0.5963810160897979,32.161026219516884,405.8333665499367,1.4461270388626706,24,32,32,20,0.4666012259668171,23.07124491227785,350.4749757638228,1.5338579509097012,27,22,18,18,0.5361008687430697,25.47144506038228,364.32868552696027,1.4935820720878978,27,31,30,23
CIN,0.5459038707073558,24.78644468681238,381.797185544267,2.449136041513654,13,12,5,29,0.4350445398415772,20.796063139045415,288.87087763671013,2.0549332454591136,13,7,2,3,0.5346280622977962,23.68849325474622,357.1751451462784,1.2823724317576182,18,18,12,3,0.4678282038994609,22.637608392697352,341.3162579893748,1.3573706352510961,17,13,13,29
CLE,0.1926353144848475,19.277550385102046,341.2074574689908,2.0137142273205786,30,26,16,25,0.7879617599370976,26.118109013738156,339.17746552991935,1.4718080451354587,30,25,12,18,0.5587093701364088,24.44255657843229,360.0112012918364,1.574717991751847,12,11,9,21,0.4442578436238664,23.913947503524994,357.5554678174747,1.5667950171970033,12,21,23,14
MIA,0.41785192951079697,16.959019407588034,307.7179675008444,1.9407292626658565,20,31,29,24,0.5634524776981533,21.059721815033434,364.43965712385096,1.2874476625511986,20,8,23,26,0.4843406738913457,22.610402006155276,347.1735286757556,1.4929959463053808,23,24,21,15,0.5179192070819241,23.626363844357325,344.05659026583305,1.3105383637337626,23,17,16,30
JAC,0.27319768312501735,17.079847435906977,318.22745230554244,1.6959921932925117,27,30,25,19,0.7077195172508092,27.069075946288237,379.7156761424161,1.2002259376486508,27,27,27,28,0.4510997247279481,21.845650311118746,340.8047498569058,1.7817185321283486,28,30,27,30,0.5515473630784453,24.28093042103991,342.5806219120383,1.4941101592645727,28,24,14,22
KC,0.3973469285144485,28.24741227766831,356.99178242953076,1.3833566205853431,23,5,12,13,0.5836986329218592,25.97312016853978,397.59231598184215,2.206201028755693,23,23,30,2,0.5433202916723705,24.579309838540226,368.2717044360743,1.4685430944013103,15,10,2,14,0.45903882363751214,23.913707365773433,362.8479159814358,1.466655604993912,15,20,28,27
BUF,0.4529978059480081,20.10863858369988,339.59351580691794,1.6556134593142102,17,25,17,18,0.5275840390238626,22.735885316533974,306.6827328298649,1.7915746072880783,17,15,5,11,0.5395718237903906,23.061513886726054,350.4762017990588,1.660406365635252,16,23,17,26,0.4634106194199587,24.819848257925223,360.8435386560252,1.4853623690688154,16,28,25,26
NE,0.743302480974593,30.582166384342802,402.0756974674616,1.0014520789700287,4,1,3,5,0.23738582749476464,21.83077809174052,404.47826838458604,1.7917152681742097,4,12,31,10,0.576804890052808,23.78665781017182,347.81832860469,1.555991663110802,10,17,19,20,0.4257518667879948,22.94966274553019,334.1865257682784,1.4328186618642933,10,14,6,28
