all Averages:
winloss = 0.5
pts = 22.47093023255814
yards = 348.56976744186045
to = 1.5872093023255813
home Averages:
winloss = 0.5658914728682171
pts = 23.697674418604652
yards = 348.17054263565893
to = 1.5387596899224807
away Averages:
winloss = 0.43410852713178294
pts = 21.24418604651163
yards = 348.968992248062
to = 1.6356589147286822
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 258
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
SD,0.3879954050394545,21.038905080328483,322.71641372900774,1.9497833996756195,20,22,25,28,0.59975416505221,20.86393166597933,331.0431630486195,1.780260641023971,20,12,9,6,0.42315306249691004,21.323567794107884,350.6678077332624,1.7714835434192477,30,26,16,28,0.5783879651804601,24.422703776200162,362.6548062145945,1.6060941519800696,30,31,30,15
OAK,0.3873932538870932,22.04293043836806,366.577976304853,1.7832229851207866,21,16,10,23,0.6002369496530398,28.36399605568624,381.07191514655494,1.5966007582055333,21,31,27,11,0.45811027625050066,21.832215842415746,341.4685213581288,1.768191068395636,25,21,23,27,0.5435933249335269,23.395352032331097,353.1017419300173,1.628414722788746,25,26,19,14
KC,0.15806905758162484,13.839967419997263,320.38554251322796,3.0386029040909976,32,32,26,32,0.8290915765437343,25.838572083652288,333.33770984281176,1.279124729144126,32,26,11,25,0.48063108314309716,22.476302553513932,352.42515446500244,1.6882284402803678,21,16,14,22,0.5214988805005782,23.399825266034263,363.2707481715568,1.682352994416522,21,27,31,10
DEN,0.6465643123589181,27.23240138922037,384.60607167628666,1.9567652044737824,9,4,4,29,0.3409213424255091,20.75041358718891,311.51175588049387,1.506217156092815,9,10,4,17,0.48195852951170215,22.798025944354144,364.7705958055352,1.5286172633959192,19,14,5,10,0.5198464134729054,22.685272140915465,355.71887964024876,1.5009728586746238,19,18,23,24
PHI,0.4712182971683767,19.972739486688095,354.40652119984907,1.9078453961931243,16,25,16,26,0.5164000159866446,19.10603204930314,322.31238940211495,1.4799466532779246,16,6,6,19,0.6327873333244528,25.796895129369847,374.90300573293166,1.2595936616861962,1,2,1,2,0.3688849512895605,20.85202648561006,354.4061325781811,1.6995949133398667,1,3,22,7
ARI,0.444411974393347,16.207672303981756,316.1505393627224,1.4153006727586552,17,29,28,14,0.5428193812552845,19.91532530054471,329.4298760196652,1.4912881899159072,17,7,8,18,0.6083817733513164,23.68306648216398,343.2766632389048,1.6038109194847872,2,6,20,14,0.3935734670021993,21.497406267385855,344.31114571232433,1.924966575520589,2,5,13,2
ATL,0.8191221599111608,25.182926104932925,378.56256519843316,1.2563820576314257,1,9,6,9,0.16853011275599059,20.04185744676358,340.0129650710515,1.7140617912494829,1,9,13,7,0.4258797917109815,21.201913170968723,357.40239370009346,1.631845181528261,29,27,11,17,0.5758017403460276,23.537348883301654,358.1622750544028,1.2927314700683268,29,28,26,32
NO,0.6119664545909183,28.881780551128017,411.15720147762516,1.2517120675176645,11,3,3,8,0.3755672170490896,24.135197871531943,436.2317642875819,1.2944603580552487,11,21,32,24,0.5550835724928112,23.396780326810628,358.83410502051777,1.677775384752111,5,8,8,20,0.446820562358229,21.522511151552738,332.6880076778553,1.6005723857715317,5,6,1,16
NYJ,0.3688509603438579,21.18809660972301,337.2936918974531,1.9284940030044808,23,20,20,27,0.6183571116434188,24.270263490308544,324.7250768879807,1.5598268569645997,23,22,7,14,0.545390251239313,22.753493676568397,352.40699286524887,1.6583382384661054,7,15,15,18,0.4567354814975708,21.725243381638258,344.5096388498135,1.5396467865230217,7,7,14,20
NE,0.7503706607465555,33.59338190290743,438.50992405412944,0.8995361162223019,5,1,1,4,0.23716155718253118,20.873673246264005,388.0996367715433,2.3643866425933746,5,13,29,3,0.516211449122435,22.15702786479468,335.5967383263247,1.690416772536853,13,18,26,23,0.48559013767263887,22.144078002127827,343.92185599100424,1.5597731562437156,13,11,11,18
