all Averages:
winloss = 0.5
pts = 23.42669172932331
yards = 349.2406015037594
to = 1.5733082706766917
home Averages:
winloss = 0.599624060150376
pts = 24.954887218045112
yards = 357.7593984962406
to = 1.537593984962406
away Averages:
winloss = 0.40037593984962405
pts = 21.898496240601503
yards = 340.7218045112782
to = 1.6090225563909775
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 266
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
DEN,0.835537540990226,31.242196880357064,426.14285618794656,1.2052149498059626,2,1,2,10,0.14572375807360283,18.66305803313286,295.67794818193704,1.239094977632837,2,5,3,28,0.5232342871358635,25.569679368495947,371.72896629735465,1.4243409670986202,19,8,2,10,0.47904408622251893,23.94895296634285,370.4201766844483,1.4686153845794707,19,21,32,26
BAL,0.434642113726575,17.649144873406094,315.2552898719787,2.0875573426554856,18,29,26,28,0.5466023378830029,22.497939843428778,312.83994954672005,1.3270862435856252,18,13,8,24,0.48837517465823904,25.860809635780015,373.36121613767926,1.8521978422822383,22,5,1,31,0.5141883827872232,24.361613700983153,338.0447157905693,1.5434675302944187,22,26,10,18
CHI,0.3846368912070538,24.31247369415295,361.4158087554,1.5698592449437265,24,14,11,17,0.5965090917939897,32.162243140994896,405.8845630523055,1.4446976464646388,24,32,32,20,0.4665950106990352,23.066642091184374,350.5289032041989,1.5329921987743673,27,21,17,18,0.5360670153549616,25.465739698873723,364.3819929910974,1.4928519154255278,27,31,29,22
CIN,0.5460268341225422,24.78744022099047,381.8484839862626,2.4477281397411286,13,12,5,29,0.4352040874646168,20.798518091130205,288.92299673290813,2.05334585778421,13,8,1,3,0.5345642414520445,23.6816806080532,357.22668564235016,1.2818074456130057,17,17,12,2,0.4678556014160553,22.634434630628068,341.3698446888988,1.356358122399199,16,12,13,29
CLE,0.19278914123552154,19.279848220017115,341.2585655123439,2.0121695393794825,30,26,16,25,0.7880956540962066,26.119611697336193,339.22812644687565,1.4703611485473456,30,25,12,18,0.5586973364137096,24.437667995218796,360.0656643176251,1.5738697438065947,11,11,9,21,0.4442258773096022,23.908263768994473,357.6094837168665,1.5660445606047335,11,20,23,14
MIA,0.41799411286212407,16.96070962068826,307.7705915151346,1.93921223925522,20,31,29,24,0.5635875264036694,21.06112741270897,364.4921210943023,1.2859656424498231,20,9,23,26,0.4843274856222397,22.60561050886428,347.22618864804923,1.4921828218733908,23,24,20,15,0.517898884167007,23.62128773164165,344.1090901942878,1.3097602426110333,23,16,16,30
JAC,0.2733390414910192,17.081583097818807,318.2790849669638,1.6944953438411627,27,30,25,19,0.7078611327305293,27.070821864985355,379.7673145713931,1.1987278267708434,27,27,27,29,0.45107996968463804,21.84051849280617,340.8582353706737,1.78092149847279,28,30,26,30,0.5515278651488535,24.275808859512615,342.6341131933618,1.493311864182556,28,24,14,21
KC,0.3974827066148197,28.248899355059557,357.04361241859993,1.3818818024769945,23,4,12,14,0.5838439252346088,25.974986787069888,397.6443593930087,2.2046795329387283,23,23,30,2,0.5433253602914017,24.575264992118914,368.32454616642724,1.467644175593854,14,10,3,14,0.4589987723144288,23.907862593773963,362.89974558463655,1.4659780492827448,14,19,27,27
BUF,0.4531870184044302,20.11235110784071,339.64537935617625,1.653895799726154,17,25,17,18,0.5276827733107566,22.735988483836863,306.73256677962104,1.7903008429448903,17,15,5,10,0.5395949499399066,23.058024819807702,350.53149179204763,1.6593849854450746,15,22,16,26,0.46334326739994675,24.812749834168933,360.8967990495116,1.4847848841235063,15,28,24,25
NE,0.7434456335316773,30.584019941070203,402.12679529122113,0.9999559599846268,4,2,3,5,0.23752904296163083,21.83263415806612,404.5293676195331,1.7902188405469204,4,12,31,11,0.5767859018586002,23.78165172096225,347.8706501607873,1.5552104468275199,8,16,18,20,0.425732941503569,22.94465916591882,334.2388487355633,1.4320371369391238,8,13,6,28
STL,0.5053129048521949,22.605180638739068,303.34598843537987,1.0019422488040788,16,18,31,6,0.47575615807869687,21.180705076989213,343.97868165322086,1.9631076179555875,16,10,14,5,0.5451275677824057,23.675850613896937,328.8752763005674,1.3355741494638051,13,18,30,4,0.4576113783417427,21.48885723791524,335.7440738618765,1.9710247648234036,13,6,7,1
ARI,0.6527393917542166,26.60150384028963,381.79459259417115,1.8831025309870142,10,7,6,23,0.3283373224798658,18.734684836334495,309.69160258534237,1.8650750627114607,10,6,7,8,0.5081359761314749,24.03271655629301,347.6930755467155,1.3276345287126559,20,13,19,3,0.4945953186894829,21.57760896362256,333.91233453900225,1.5918389643992366,20,7,5,11
IND,0.7090697096963412,26.199718054136355,366.7815671276203,1.4800563919878456,8,8,8,16,0.2720321991433961,23.7705990204678,375.4030096964554,1.4771464686418887,8,19,25,17,0.5810954005296309,26.450826942923385,357.05288510494137,1.4618800047455078,5,3,13,13,0.4212962104861091,24.096078388157068,361.0766610942778,1.805148472207308,5,23,25,5
OAK,0.22741674248358879,21.837521635791596,329.41939854605727,2.047778914540875,29,19,22,27,0.7538814965330003,29.23488351055996,360.6178594120298,1.4612316572504815,29,31,21,19,0.5799553392960701,25.745199518347075,367.50918358210754,1.4295339252361905,6,6,4,11,0.42255443074238086,22.008626556595736,353.0960205032394,1.6277571303888863,6,10,20,10
NYJ,0.5692864632762976,21.20839640152184,332.43610807900586,1.311918474657996,12,22,21,11,0.4115712296840731,22.62348461129961,347.1157505940554,1.3680322217638188,12,14,16,23,0.5068281831398054,22.44200073088578,343.135274923418,1.5180156645775482,21,26,24,17,0.4961221329548642,21.871299766447503,342.79828784670593,1.563991898803098,21,9,15,15
TB,0.4134569961402469,21.34742104832425,285.0361993147859,1.1831800617958814,21,21,32,9,0.5678064800866145,23.740115825302567,349.71283357213895,1.922538039500286,21,18,19,6,0.6126339358798867,25.945727912949174,354.60376288314797,1.4397432375699286,1,4,15,12,0.38991059694829205,21.029282088636425,327.04876738240586,1.7567004362210998,1,3,1,6
CAR,0.7161461409563221,20.813498643455908,308.20348922304777,1.1716166553105742,6,24,28,8,0.26511607167523243,18.47620162096853,317.83145907701794,1.4264638654891106,6,4,9,21,0.545687640899079,23.19621192039952,343.05173064069726,1.3877860706951517,12,20,25,8,0.4567009109246253,22.237908800603364,345.98122399938995,1.6410889045571266,12,11,17,9
SEA,0.8504907010207573,26.164721544794695,324.08476663358135,0.8595604649708641,1,9,23,4,0.13045799845668854,13.860629048989695,291.8642419443182,2.651143447051493,1,1,2,1,0.5689311304426974,23.02444506881241,339.133996758298,1.339324195478986,10,23,29,5,0.433659842502068,20.902904144907055,338.4729682389744,1.5710483502600203,10,2,11,13
DAL,0.43033396243544547,23.902998993528914,333.96866064299775,1.335101004979107,19,16,20,12,0.5507333823599426,27.551473690769633,389.8888462801198,1.4070378179823995,19,28,29,22,0.4716017058574972,24.03376849802927,357.2392971383149,1.5013800320607373,25,12,11,16,0.5311389584021551,26.074017166245284,364.4713822497822,1.6931965988451507,25,32,30,7
NYG,0.40711848780172677,17.783614047350518,303.4172840690927,2.556587064268479,22,28,30,32,0.5739603429759905,21.33109098742129,308.7977587732281,1.6264507206263819,22,11,6,15,0.3542613467356399,22.54314549810392,364.57815108775026,2.0294344322034448,32,25,6,32,0.6484678315416831,23.704160899077202,340.19907594532367,1.509841250981145,32,18,12,19
SF,0.8170356958631885,25.973944506473988,348.1605806381506,0.783902291094708,3,10,13,2,0.16401441267236294,16.438938352391773,331.6740682349799,1.7613311773375866,3,3,10,12,0.584249643160957,24.684803994602994,340.31316821486706,1.3915470562685082,4,9,27,9,0.41816143510633164,21.181082973990794,331.00916265059357,1.8531125119993594,4,4,3,4
GB,0.5426695991832239,24.575775601498954,364.899874920028,1.4607923161700185,14,13,9,15,0.4386647927755278,25.054821012206254,363.06395243273437,1.8542930193180736,14,21,22,9,0.5762962639448537,26.734047930922983,364.96939248757906,1.3653393717461677,9,2,5,6,0.4260201085516535,24.324075473287465,356.185060054975,1.5839650582156921,9,25,22,12
DET,0.2449324901732886,21.402907386568682,362.8457169267143,2.544760014389205,28,20,10,31,0.736168873423064,23.671309696136067,336.0089459229789,1.3030354619423488,28,17,11,25,0.4771900209420282,22.139193214393988,345.4245374544308,1.5800978829102328,24,28,21,22,0.5255166245166593,24.061150960758187,348.77855334382775,1.309171168547473,24,22,18,31
MIN,0.5370447062376782,23.761242343659966,337.17887047013727,1.859486877344771,15,17,19,22,0.44410757407746365,26.109284085441146,376.7550604029353,0.9172901132694067,15,24,26,31,0.586455450448065,25.714770573393928,357.9724992775132,1.6405352436286649,3,7,10,25,0.4162002782918334,23.39933143043097,361.2861294484715,1.6547756954868718,3,15,26,8
