all Averages:
winloss = 0.5
pts = 22.848484848484848
yards = 348.6212121212121
to = 1.5549242424242424
home Averages:
winloss = 0.5776515151515151
pts = 24.125
yards = 350.75757575757575
to = 1.518939393939394
away Averages:
winloss = 0.42234848484848486
pts = 21.571969696969695
yards = 346.4848484848485
to = 1.5909090909090908
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 264
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
NYG,0.5113993607408112,25.777251042982158,329.79922547089006,1.2734318581022666,15,9,21,11,0.4738024154677891,21.266615747326803,378.2410622832865,1.6754295652969704,15,12,28,12,0.5092461938128112,23.77505578575232,364.8577008098929,1.5498471566336665,19,10,5,17,0.4929312571622841,23.17823665624274,349.5181058954122,1.4418710265023633,19,19,19,24
DAL,0.4990708322999924,24.713775669322658,369.63568463364027,1.457494672102925,16,12,9,16,0.48618895275252555,25.825656492723073,377.4558342826175,0.8521746518596911,16,28,27,31,0.523700043157629,23.200117950217226,364.23863750692794,1.6029927858962931,15,15,6,24,0.47841939897354835,23.233482062254446,346.9216289300166,1.5797348762173915,15,20,14,15
NYJ,0.28747639716970463,14.153047640084647,297.78034291733024,2.45867829428677,26,31,27,31,0.6976665824744082,22.585585411345452,309.4018262092094,0.9262190838861669,26,18,3,28,0.4686071854882413,22.659798006995644,336.94874574487585,1.7644163124635488,25,23,30,32,0.5336290620513413,23.901738486273015,348.32080939340835,1.6803480726749411,25,30,15,9
BUF,0.356737908369515,21.083262961924802,340.011765263176,2.3540249265531594,24,19,17,29,0.6286403627612509,25.389805630487466,349.423741004298,1.269844613256562,24,26,20,24,0.5312483012061264,21.906495349722277,342.4167543858366,1.3953324956462763,14,26,22,5,0.47075265484680323,21.24786837297253,351.1801085742493,1.3260768396259217,14,5,20,30
MIN,0.7415873127025614,24.62364108836693,352.9446386317304,1.3526148809397756,4,13,15,13,0.243654249130779,20.50216886103557,356.37922923539304,1.5148794128847936,4,10,22,15,0.6150412993864982,24.53200280632933,349.08846744690936,1.328907716023952,2,7,19,3,0.3869738023842961,21.657031881792328,339.5244423856555,1.592696860093573,2,6,7,13
JAC,0.19755025254244324,16.268145386322388,329.2459641146776,1.6562937942919884,29,28,22,22,0.7879085322345285,26.298805577829384,355.81451634166444,1.5016750276012842,29,30,21,17,0.583249600808344,23.79942899933643,342.02094795794335,1.5165009902900635,4,9,23,14,0.41867084159837975,22.73704829509387,351.9488474957284,1.7879842589569281,4,15,21,4
CLE,0.3146891388684639,17.774301040031308,331.42832340817955,1.8427085627770339,25,26,20,26,0.6710142892859519,23.42384856260668,334.9991362478196,1.3411381303594583,25,20,13,23,0.4790714178822955,22.87849521790342,359.81858766306664,1.7202854761088235,24,20,7,30,0.522604381146984,23.442467528122833,330.52914970859007,1.4116308833089484,24,24,3,27
PHI,0.23654885711409612,17.826559852347742,335.0492990004715,1.9054236148520205,28,25,19,27,0.7488668906358009,26.082529059143596,322.9395065711283,0.9042331512359458,28,29,6,29,0.5660749681297592,26.971692068898456,370.56674321881917,1.2987958637622854,8,1,3,2,0.4358885113040393,22.598009672498883,356.23582711936996,1.7360800383661963,8,13,24,7
CHI,0.46219093564049885,20.22805001304357,304.9146589332342,1.4107751093680276,18,23,26,14,0.5232734503524848,19.508070431635225,320.19610319738985,2.4363580008089682,18,6,5,1,0.44152640668651655,22.389836647011418,355.78185943323865,1.5644715923042067,29,24,11,18,0.5603884345041952,23.871132085362575,353.69183489203505,1.3705504363200494,29,29,23,28
IND,0.6759812239198857,20.4238304184343,337.2169174146512,1.4969219941449892,7,22,18,18,0.3093339719011091,21.870120985084014,382.6578222994606,1.5447238242759895,7,14,30,14,0.5061732363453717,22.791632078278926,355.5834816612064,1.451894475035275,21,21,12,9,0.49576823143776805,23.799916287873437,357.45090907063496,1.4124192722558417,21,28,27,26
