all Averages:
winloss = 0.5
pts = 23.408203125
yards = 348.51953125
to = 1.5859375
home Averages:
winloss = 0.599609375
pts = 24.9609375
yards = 357.23828125
to = 1.546875
away Averages:
winloss = 0.400390625
pts = 21.85546875
yards = 339.80078125
to = 1.625
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 256
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
DEN,0.7197653802052904,32.33674780711339,421.61716516321314,1.3624237139571507,5,1,1,14,0.26139521578633823,21.82177530819339,309.4070433394935,1.4350600683378185,5,13,6,21,0.48587755126358534,24.1770642181863,364.1699477134281,1.5872672218884256,19,10,6,21,0.5167722485909443,25.186352714827954,367.1041056602394,1.4410328737425546,19,28,30,27
BAL,0.4346434347224456,17.637621986491833,314.87399118330814,2.0942217802465675,19,29,26,28,0.5466037815611287,22.486211954466178,312.4569804164635,1.333778652730879,19,14,8,24,0.4883749243756724,25.85090723309468,372.9621114183146,1.8591906089727046,18,4,1,31,0.5141882551869117,24.351506296249475,337.64394062961867,1.5504882685390573,18,23,7,17
CHI,0.38463841613337213,24.300658199211284,361.03361161829446,1.5765372816269614,24,12,10,16,0.5965103460564977,32.15087992528044,405.5060512736426,1.4513139717990988,24,32,32,20,0.46659494983208627,23.056375015250897,350.1253411332406,1.5400610492756277,26,18,14,15,0.5360666838242021,25.45592490216744,363.98211627858166,1.499859054578013,26,29,27,23
CIN,0.6273444670017733,27.784858004746994,373.1892080072356,2.1851644289199967,12,5,7,29,0.35382133604954735,20.172432271512488,290.7793013754584,2.3021317522461615,12,8,2,2,0.47201215164610477,22.915165427054085,347.8958497363333,1.4389782845287902,22,20,17,6,0.5306324411487329,23.540768090983534,340.6904926463248,1.3396640560828414,22,12,10,30
CLE,0.1927906476814734,19.26819134935384,340.881602105218,2.018756103219251,30,26,15,25,0.7880969653396221,26.10828101011097,338.85382091748306,1.4769032062088536,30,25,13,17,0.5586972185658532,24.427368390796083,359.6578959973964,1.5810128619808066,6,8,8,19,0.4442255642592095,23.8982903480098,357.2043732743713,1.5731431726006848,6,19,23,13
MIA,0.4179955052827082,16.948902468859572,307.3818885220702,1.9460056115837445,21,31,28,24,0.5635888489537123,21.04943701455441,364.104369458525,1.2927430842949854,21,9,25,27,0.4843273564677557,22.595670615370913,346.8318664342054,1.499090555863949,20,21,19,10,0.517898685141982,23.611464591822397,343.71571933773106,1.3166520461182287,20,15,13,31
JAC,0.2733404258324116,17.069976016048017,317.8977683477774,1.701159431725905,27,30,24,18,0.7078625195898708,27.0592105757217,379.3859636678124,1.205392488747968,27,27,28,30,0.4510797762208557,21.830499490421886,340.45751242463325,1.7879420123313858,28,30,25,29,0.5515276742030203,24.26578564963548,342.2333559629272,1.5003329521335345,28,21,11,22
KC,0.43500470105504274,26.036325216430573,333.31390352798024,1.430608146643606,18,9,20,15,0.546362859025022,22.86137771272179,374.4474879147775,1.9710603671845117,18,17,26,3,0.4987638923064897,24.39883764062042,369.5024071008619,1.5451486794052482,17,9,2,16,0.5036789434596038,24.48110710411928,360.3898921507477,1.3814179171727852,17,24,24,29
BUF,0.4531888713873332,20.100122512011254,339.2639836928374,1.660556361482417,17,25,16,17,0.527683740228839,22.725240502322336,306.3632357748769,1.7967593819220968,17,16,3,10,0.5395951764173832,23.0471425096743,350.11874894717056,1.6666116223035883,9,19,15,24,0.4633426078126029,24.803348138350465,360.49612086322935,1.4918094982029637,9,26,25,26
NE,0.74241763548916,30.262992239711163,402.7059812590897,1.2600680036561231,4,2,2,10,0.23852770568419934,22.897478194681124,397.48252162862735,1.464628006608431,4,18,31,19,0.5022326172223495,21.997231468927314,336.43645550009796,1.7985298517138388,15,29,28,30,0.5006324374504495,23.549156878650834,340.5064521739374,1.5410605505157222,15,13,9,19
