all Averages:
winloss = 0.5
pts = 22.27462121212121
yards = 348.0776515151515
to = 1.5833333333333333
home Averages:
winloss = 0.5757575757575758
pts = 24.03787878787879
yards = 354.9583333333333
to = 1.4659090909090908
away Averages:
winloss = 0.42424242424242425
pts = 20.511363636363637
yards = 341.1969696969697
to = 1.7007575757575757
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 264
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
GB,0.7295241818758096,30.721932436325247,392.71555276126264,1.154341329097404,6,3,5,5,0.25574491623984735,26.027840635193726,417.2164822067356,2.0541708012376483,6,27,32,5,0.559406022621551,22.59116865558084,359.6347164269947,1.5603248106263639,8,15,9,17,0.4428923559497526,22.027376333083577,350.7016505603268,1.692630915492538,8,13,19,9
NO,0.8437215185737706,35.823864685349804,490.4766032132658,1.48656464276255,2,1,1,15,0.14176951749748445,20.722256626826734,360.92934935341646,1.257996103849264,2,11,21,24,0.5921329123937435,24.870229165990175,361.53001476677275,1.5501189841978937,4,3,5,16,0.4098239539980001,22.306508585972963,357.46027219170367,1.9510527006499299,4,17,31,2
TB,0.0662708737099306,16.71705112773545,298.12450379604,2.863823507664929,32,29,29,32,0.9194623167203928,33.039479057148995,382.47058921847497,1.6723616169357811,32,32,28,13,0.4498154421324829,23.556418714190208,360.6004182128172,1.2492939923090258,27,5,8,1,0.552138418348116,23.493386771482882,344.4851495733119,1.554036619037423,27,30,10,16
DET,0.6294047558985996,29.64407552368161,388.7006522999427,1.5087835193180543,8,4,6,17,0.35629467864874115,22.68888631814036,386.83361520108895,2.4764974123159624,8,18,29,2,0.6369744412176976,27.999475882923463,391.11950414088756,1.2883236829505376,1,1,1,2,0.36489360092192213,22.69645613741188,370.6685899442341,1.6885509517207922,1,23,32,10
CHI,0.43742783734758495,18.93020345904781,285.1589348493625,2.067412181421984,20,24,31,28,0.5482478666135457,20.847569210168032,331.87066222054165,1.5942757616456782,20,12,10,15,0.5051338040135201,23.129354456773147,342.77753609732576,1.8246565478439791,19,7,22,30,0.49687754293627145,22.69703318465799,354.7903762497378,1.9191266375581422,19,24,27,3
ATL,0.4914866008023406,22.501179747330937,363.448524799331,1.0357666533598768,16,12,11,3,0.4940191882912016,22.987944496414514,331.85208688870773,1.7408058519035519,16,20,9,10,0.4038591664706569,21.825873920995683,355.2671231867567,1.7020110315793473,31,21,11,24,0.5982025211227615,24.284421306110687,356.32817551626084,1.517669884114007,31,31,30,19
HOU,0.5028175946592301,22.36952704368573,365.1894126572405,1.7849257178241718,14,14,10,20,0.4830511815293963,18.381769215823613,305.57832999547134,1.4854120936831188,14,7,3,18,0.5093522466386131,21.236138298983565,329.86400633315867,1.57899502048107,17,25,29,19,0.4922268796357592,21.377597787046405,330.8320071939811,1.453124675403891,17,10,4,26
IND,0.3390433022979817,17.489017513301178,312.8134889815242,1.5815661870140238,25,27,28,19,0.6467133023165098,22.470190668122278,348.22492023076876,1.2955556437641698,25,16,16,23,0.5656623515492168,23.006669084146075,342.7669915457939,1.4753804175133474,7,10,23,8,0.43626809474721406,20.96090952704668,330.5160288314675,1.8040711473033428,7,5,3,5
CLE,0.2506580776338352,15.714154556928811,320.7559017208648,1.3596170993794048,29,30,24,13,0.7349408128057606,19.57303577767191,349.9418115987362,1.2197436261171137,29,9,17,26,0.5869175729366818,20.813482167112863,341.7831356625792,1.7100711164008768,5,27,24,25,0.41517058753464486,19.3155702066356,311.16279838188177,1.4051048665238124,5,1,1,28
CIN,0.3668682292402281,19.32457049845393,334.2229975465069,1.893656035764828,23,23,19,23,0.6186142142985168,23.31045658399269,336.9476904348096,1.0099513074285533,23,22,13,31,0.4543719134091229,21.323064468040656,340.9937884054099,1.6631027706754085,26,23,26,22,0.5477131197390928,21.3022517698802,329.6116803003162,1.39728630201653,26,8,2,29
SD,0.5646577106264545,26.30507046176919,395.35734679093787,1.2189951925749032,11,7,4,7,0.42114131077272543,22.156780721761834,363.55425651239096,1.4082144183539351,11,15,23,20,0.4960106210565086,22.26308838746847,351.1059569567358,1.5616919406353205,20,18,12,18,0.5058774084552338,23.10743564171773,345.4360425004498,1.646637371021599,20,28,12,11
MIN,0.25182941433760986,21.817839084483072,329.5054876627019,2.0945251289106612,28,15,20,29,0.7339115090699203,27.487613280292223,336.45064990566993,1.6887383045101028,28,30,12,12,0.5197535377258123,22.99885720343317,363.134887946275,1.544301120537655,15,11,4,15,0.4821925897775799,22.44994602874653,353.32503681696915,1.4724453300301028,15,20,25,25
NYJ,0.41183848039053045,21.748105358717908,314.983198384199,2.4011167656612775,22,17,26,31,0.5734723598047106,23.14641128470327,303.9171524508315,1.7822854056358919,22,21,2,9,0.5090648478215082,22.5810986905492,348.376666391475,1.5915706992791985,18,16,15,20,0.4933113628941733,22.85180330448861,350.7243190667525,1.5005946302276403,18,25,20,22
DAL,0.36412129935411436,20.996462826873113,347.350334169348,1.137575348871803,24,21,14,4,0.6215292383524427,23.376704358711432,361.10356811451965,1.0506763592841721,24,23,22,30,0.467318192357994,21.429305224094634,348.9052252265515,1.7310687035213483,24,22,14,27,0.5347183208463716,22.399943719308816,349.1608818102442,1.5072598192032296,24,18,17,21
BAL,0.7399925718545899,22.412512495914015,328.749696671747,1.1951046096944298,5,13,21,6,0.2456079983710326,18.044493725536086,303.31299975772276,1.5920749193378305,5,6,1,16,0.47018821729372823,21.061138235345663,345.6629175000455,1.517490203328808,23,26,18,10,0.53177868916761,21.130148955117505,337.88260411129414,1.4784380843048912,23,6,7,24
PIT,0.5946346862726685,21.34316764159542,376.5089378641867,1.8464174599758896,9,20,9,22,0.39101936877789045,17.20065046124595,315.4713083676762,1.209087217000015,9,4,5,27,0.42697424313000476,18.50313717998367,327.9046633416154,1.4630096120911034,29,32,30,7,0.5749391785063968,21.229642140093464,344.8950107455286,1.352228517263121,29,7,11,31
WAS,0.20709562693141448,17.865669809637442,345.24837111686725,1.9739034563625903,30,26,15,25,0.7784809017186305,24.21630244570089,337.8571416388422,1.3664847182465687,30,24,14,21,0.4580092440738437,23.74281551604011,361.14851459386665,1.5376601356822166,25,4,6,12,0.5441012781870336,23.43311452839573,356.31242424959623,1.6207655233740597,25,29,29,12
NYG,0.8349659978729269,27.04255774661172,399.6740307218756,0.9462707864852175,3,5,3,2,0.15084640098270122,17.012825261769706,335.59848628307304,2.0403552486033947,3,3,11,6,0.6366753102654912,25.467855863559098,366.71247690253267,1.4521227303659783,2,2,2,5,0.3649601933418794,22.102075550751177,352.1531831764584,1.7837338402835443,2,14,23,7
SF,0.8510204665211647,25.15312205652968,335.85334117332263,0.6992758771145031,1,9,18,1,0.1344791468859896,17.796612457129754,325.8492000602798,2.760511704091406,1,5,7,1,0.525055890310488,21.96867790325916,349.55056226004535,1.5205937184670855,14,20,13,11,0.477011972969318,22.173300460764075,342.74543100510505,1.4170013407641422,14,15,9,27
SEA,0.48899757591413295,23.858822460543188,328.1122053689027,1.3177415336198597,17,10,22,11,0.4967321170378307,20.3752771045991,354.3228755985938,2.0836924145731217,17,10,19,4,0.5369343551216175,19.925046004412415,320.47492468450724,1.5438837220382147,12,30,32,14,0.4650230028373413,20.768032192132267,334.6695313887932,1.5181155893432594,12,4,6,18
STL,0.18420217705416037,15.609185645719048,291.82031239284163,1.2637773151374068,31,31,30,10,0.8015278953897855,25.78181930672359,350.3452719624448,1.192241807012942,31,26,18,28,0.5729711514392858,21.973887296325735,342.865285010502,1.440915189764953,6,19,21,4,0.4289858270276906,19.66686946500827,331.6266282660628,1.620344313753228,6,2,5,13
PHI,0.6772277111038724,26.376041819960342,379.5757885642422,2.0154802172814583,7,6,8,27,0.3083875490158978,16.756300699194675,318.41765606995585,1.6955388924143606,7,2,6,11,0.5265195853988043,23.089394619739217,341.5574024736675,1.4137929305791168,13,8,25,3,0.47555220539234805,21.37203813180247,345.7228522623143,1.7994688662999079,13,9,13,6
ARI,0.5824464004527011,21.52181043091823,342.4793708178711,1.9315250681843488,10,19,17,24,0.4034081022889856,21.649368086420075,357.00204231281657,1.309773716731951,10,13,20,22,0.47908356427025833,21.27429537267586,326.382338912054,1.5383650825433959,22,24,31,13,0.5227489838989773,20.058343177872672,338.09322274229976,1.8749956806905272,21,3,8,4
CAR,0.43214727307385814,26.28016274802548,363.0367437813536,1.242283760207921,21,8,12,8,0.5532434647266719,25.546360840863677,379.5764695360774,1.5092422367054341,21,25,27,17,0.47932275080084924,22.94496394969842,360.73339435942256,1.8359461480567956,21,13,7,31,0.5229735623095433,22.558776913561644,355.0029372485401,1.5837590844321632,22,21,28,14
JAC,0.2866283395599377,17.345442207472125,270.5540451454589,1.534315947324417,27,28,32,18,0.6987850308731721,22.527239480786413,330.00452802459495,2.186910029019423,27,17,8,3,0.4123868094910479,20.623568545545098,344.1481883932396,1.6380257756517789,30,28,20,21,0.5898868709867645,22.877378786566318,350.2224319248762,1.5114769802187986,30,26,18,20
TEN,0.46133216584943915,19.50733205045892,347.8263723305001,1.7879178024960711,19,22,13,21,0.5240784717738001,22.725271338039,369.31829295663533,1.252762020433965,19,19,26,25,0.37621251078302287,19.897533576047657,333.6132370251754,1.6784619282508717,32,31,28,23,0.6260639025046604,23.092136351847255,352.87349493480826,1.3923689265604402,32,27,24,30
KC,0.5561466408324415,12.234766358157612,319.7516172743015,1.4967680684316453,12,32,25,16,0.4296739228859152,16.722944966515982,312.9922360029944,1.479699283054409,12,1,4,19,0.602982257422342,22.770739126692153,344.3246759575118,1.7233610705261024,3,14,19,26,0.39888422977022386,22.576735338483722,351.07899689518666,1.570544941322642,3,22,22,15
BUF,0.32117149243453996,22.83881424673453,343.32205479330565,2.18533103180719,26,11,16,30,0.6646429526816324,28.124067726786286,366.645968264528,1.8651099377156242,26,31,24,8,0.5449881512851087,22.979048190635083,347.83912555939327,1.45400370317497,11,12,16,6,0.45688445450964127,21.556394993222085,354.17325978623285,1.4793054463304036,11,11,26,23
DEN,0.5180542130156587,18.21858533706598,323.882346806158,1.4656387937052051,13,25,23,14,0.46764962020206197,26.114780749663392,366.84662474574895,0.9939159409033825,13,28,25,32,0.5505521782979756,23.086063886465155,365.3289386853683,1.7424843214448806,10,9,3,28,0.4511918909473026,22.286902768523674,351.0452676227756,1.7519562983386452,10,16,21,8
OAK,0.466119674274302,21.731084620717326,384.3699039107902,2.015161302247778,18,18,7,26,0.5192712253257521,26.861038144648948,388.177366199425,1.6423982599582527,18,29,30,14,0.5577789138779645,23.245747070552817,358.8505741915261,1.481318326059629,9,6,10,9,0.4445172374329036,21.764124957437772,348.5612824361252,1.5218679041117458,9,12,16,17
MIA,0.4976781961371787,21.78218955936651,314.27744065781235,1.3254597612760421,15,16,27,12,0.4880134597703323,19.457623025295405,341.3815751870902,1.1895137621893639,15,8,15,29,0.5110513536613246,22.401890172682165,347.60476217053713,1.9341152549105327,16,17,17,32,0.49094404134208686,22.427135539637504,347.2201613644925,1.9727134802296553,16,19,14,1
NE,0.8203912557159767,33.64530241312828,432.73542377279625,1.2548039890673732,4,2,2,9,0.16516229994970685,21.739709916349106,396.569735496198,1.9798492753888284,4,14,31,7,0.43712043061712413,20.532788921631578,336.6295646977409,1.7543153381194991,28,29,27,29,0.564893490404153,24.44682427689319,347.7840318466767,1.2366797220221901,28,32,15,32
-----------------------------------------------------------------------------------------------------
ALL GAMES
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
GB,0.693075267661223,33.553028969823835,417.5427242819257,1.4200150393003532,8,3,3,13,0.3069247323387769,29.370637483288135,438.6992618395735,2.321461871390553,8,30,32,5,0.5914444882578175,22.69753958801231,360.4015367631041,1.4275269389161866,9,16,10,11,0.4085555117421819,20.0551048298725,342.64566325923977,1.9577653889244835,9,5,13,2
NO,0.8188056165724735,38.63191396074831,520.3961411435998,1.8258300224127866,5,1,1,20,0.1811943834275263,21.056623758099388,365.9009355062704,1.7588306810020027,5,14,23,13,0.6277050475260553,26.63972520499734,366.8959539574072,1.148249695221858,4,3,7,4,0.3722949524739444,22.03608474415993,355.09641378175513,2.2046307889055323,4,18,24,1
TB,0.0034411194059347514,17.17902163382297,291.57250533488747,3.375987163428258,32,28,30,32,0.9965588805940654,37.05325237563936,377.5805142510261,1.7131590541188166,32,32,27,14,0.48241223623229795,24.949941702856734,374.516624817817,1.1647029582907331,21,6,6,5,0.5175877637677013,23.663829356483884,346.1425334514586,1.6781136480522434,21,26,17,15
DET,0.5875904739781355,31.96423216491116,416.9151411143466,1.790171391630656,10,4,4,19,0.4124095260218644,24.976672593285812,421.42199632989514,2.5387132489120505,10,22,31,3,0.7117117942075113,31.10115096098547,422.99162446359793,1.0983829784233485,1,1,1,1,0.28828820579248826,22.199024349787138,374.77999661111704,1.6848110680678463,1,19,31,14
