all Averages:
winloss = 0.5
pts = 22.257518796992482
yards = 348.10714285714283
to = 1.5827067669172932
home Averages:
winloss = 0.575187969924812
pts = 24.007518796992482
yards = 354.7631578947368
to = 1.4736842105263157
away Averages:
winloss = 0.424812030075188
pts = 20.507518796992482
yards = 341.45112781954884
to = 1.6917293233082706
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 266
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
GB,0.7295789596493434,30.714869072448835,392.7515370471084,1.153227873233834,5,3,5,6,0.255800897127098,26.020805273789062,417.2529410307093,2.0530395994467554,5,27,32,6,0.55938640401846,22.581042224201518,359.643652941636,1.5602599206012522,9,17,9,16,0.4428946935109541,22.017760931428164,350.71924713506905,1.692242172044113,9,15,20,9
NO,0.8437759042545828,35.81666015430456,490.5126605393201,1.485452132786798,3,1,1,14,0.14182422177102377,20.715059511027206,360.9655323404071,1.256878894630787,3,11,21,24,0.5921253964568094,24.86067224296228,361.54322856183444,1.549886124415703,5,3,5,15,0.40981675665379325,22.296959078190778,357.4736116477018,1.950815141625014,5,17,31,3
TB,0.06634640745388631,16.710194748970572,298.1691508787645,2.862393785630308,32,29,29,32,0.9194940522213219,33.031603274277664,382.4979611791937,1.6715779189858035,32,32,28,14,0.4498299959138436,23.547207977573144,360.62262566924926,1.2487294681316716,28,5,8,1,0.55210917388645,23.48315663075937,344.49008190773816,1.554118118944713,28,30,10,17
DET,0.6294668442771412,29.636926286981286,388.73996156345765,1.5075528521847894,8,4,6,17,0.3563401133187156,22.681349466373124,386.8663558256023,2.4755123873840637,8,18,29,1,0.6369861218824584,27.99033396915886,391.1403443769623,1.2878065085704415,2,1,1,2,0.36486787482754024,22.686443581328223,370.674676019334,1.6885855270380525,2,23,32,10
CHI,0.4374918655307244,18.92311348972879,285.1989848745382,2.066153419415606,20,24,31,28,0.5482915399043828,20.84000548073067,331.90268376732104,1.5933172343007613,20,12,11,16,0.5051364200049728,23.119831666722117,342.7950939676971,1.8242668530615647,20,8,22,30,0.49685980403542174,22.68703663448862,354.79990564171277,1.9190371774371884,20,24,27,4
ATL,0.49153740628570197,22.493883109930994,363.48318514147905,1.034706629731662,16,12,11,3,0.49407736183721196,22.980819350672718,331.88965337896605,1.7396371493512661,16,20,10,11,0.4038581082593818,21.816320301205636,355.28313755708655,1.7016775348196387,31,22,12,25,0.5981880779235598,24.274556150726646,356.3389105127277,1.5175338159262168,31,32,30,21
HOU,0.502871606329989,22.362089072394326,365.2257099968697,1.7838104910686186,14,14,10,20,0.4831034196617306,18.374289965425383,305.61392780720735,1.4843230266193268,14,7,3,18,0.5093471968428841,21.226863510554367,329.87780530347493,1.578734018544194,18,26,29,18,0.4922200563016057,21.368281719510378,330.84510663640435,1.4528898331587756,18,12,4,27
IND,0.33910161754807605,17.48174644390467,312.85136868097084,1.5803899274156246,25,27,28,19,0.6467620802648026,22.462697618026333,348.2590381799524,1.2945200593673425,25,16,16,23,0.5656598628832137,22.997075614753626,342.78245301376114,1.4750677797828433,8,11,23,9,0.43625606877940937,20.951094076954803,330.52772854917157,1.803899184774411,8,5,3,6
CLE,0.2507138043149113,15.706917070085346,320.79259862128686,1.3584824587975592,29,30,24,12,0.7349933651439355,19.565724407997422,349.9772564589596,1.2186558070930607,29,9,17,26,0.5869113098807965,20.80370701729896,341.7972702195066,1.7098107132975988,6,28,24,26,0.4151611501358584,19.305721173990676,311.17568089861044,1.4048912849783268,6,1,1,28
CIN,0.36691613138522894,19.317220175209844,334.25648878866696,1.8926393452297836,23,23,18,23,0.618675466713375,23.303416988279537,336.98644735715834,1.008737700413112,23,22,13,31,0.4543677763289999,21.313425298221965,341.0086123436493,1.6628141783788553,27,24,27,22,0.5477015798782516,21.292440300340303,329.62358439677087,1.3971069007355692,27,9,2,29
SD,0.5647276084712164,26.29804374154581,395.3998384716655,1.2176471651659564,11,7,4,7,0.4211781872031577,22.148985428119936,363.58372372177155,1.4073534568063506,11,15,23,20,0.49602003390836624,22.25379716162199,351.1260691645059,1.5612046800555734,21,20,14,17,0.5058537998927617,23.097375842452713,345.4431302368729,1.6466371763032148,21,28,12,11
