all Averages:
winloss = 0.5
pts = 22.904669260700388
yards = 346.2373540856031
to = 1.5797665369649805
home Averages:
winloss = 0.5836575875486382
pts = 24.529182879377434
yards = 355.6031128404669
to = 1.509727626459144
away Averages:
winloss = 0.4163424124513619
pts = 21.280155642023345
yards = 336.8715953307393
to = 1.649805447470817
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 257
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
BUF,0.3162235512844721,20.552316553238988,344.19588352639374,1.7533037272618004,29,24,13,20,0.6681673770296059,25.219614117365293,343.14351622433674,1.488875490371072,29,24,17,19,0.5604421972168863,22.698358589614486,338.12749819546167,1.3960366522188075,5,18,23,5,0.44153149822561744,20.58287141016266,334.67804104154595,1.6992731670708348,5,2,3,7
MIA,0.3617271669687223,20.18651647197789,296.35828984504633,1.6847469183346677,24,26,32,19,0.6218295791492849,22.410215047305822,343.9563957813225,1.8521645001254323,24,11,19,11,0.4782395016837676,23.00506679493173,351.88583854992737,1.4216508612158285,24,13,13,6,0.5246068068617263,22.891187770481068,350.10645673295227,1.564720972962332,24,15,23,16
KC,0.756466124438842,19.884194087476565,309.18828767290654,0.907648386582699,3,27,28,2,0.2277764770038104,17.49896930552511,355.6417815664957,1.8794666312580297,3,3,23,9,0.4305300140978472,21.11180297043647,342.5951675977683,1.8018062385681974,30,30,19,30,0.5716852958362273,24.108632488672157,341.7516693012963,1.571689754711273,29,27,10,15
CIN,0.6334427194203656,25.700057277327147,371.45081590556487,1.9547457554251115,7,7,9,29,0.35081938482858765,17.559273580664257,299.91672771012225,1.7220074826366063,7,4,2,14,0.5059687393737103,22.424608370265197,339.50967312293346,1.7229532007419697,18,19,20,26,0.496133780133918,22.285072611707072,345.2307581475088,1.5587550383141853,18,10,14,19
NE,0.7158957781741815,29.639361479196957,381.75352384662483,1.4458847369186962,4,3,6,11,0.26852506166578116,22.700398173402267,378.0819732800483,1.935046197583738,4,12,28,7,0.5299936779886293,21.477341582792363,339.0676353734315,1.7422393420221298,11,29,21,28,0.4720433935481349,22.028464763601498,340.5528189877691,1.3345494647932663,11,8,7,30
IND,0.6345068294285627,22.88502129715309,341.9491868741618,1.5286004274521652,6,15,15,13,0.349664363525098,23.38764815614048,378.5585516724835,1.4984944662163744,6,15,29,18,0.5154778798059099,23.38112921717186,353.276115521537,1.4664123057043692,12,11,11,9,0.48675398190393065,23.415326993599734,346.29549947288274,1.5619678536286765,12,22,15,18
CAR,0.6958876718926419,24.61588797461004,315.00815337784184,1.2285489453755774,5,11,25,7,0.2873985540592886,14.115326112465185,288.9115981568013,2.2844563970373715,5,1,1,1,0.4062773033895738,22.04196784839698,332.85093716702346,1.556496571226158,31,24,29,19,0.5968943820352226,23.405525555022386,364.1766506175164,1.6738599743299678,31,20,32,8
TB,0.27677201953837877,19.361513880179388,329.4719682533461,1.1162876485989495,30,30,17,4,0.7073570563001299,23.453795351467985,323.61900094772994,1.4655144485654503,30,16,8,21,0.5586034918565592,24.033468234473595,352.82029880886193,1.5138985507184637,6,8,12,15,0.44367048696843336,21.4974945808882,333.8619277492712,1.7514967933420214,6,5,2,5
DEN,0.8588385731635884,35.71753073889265,422.637083365385,1.9954026445069886,1,1,2,30,0.12522223265363067,22.904348363038228,337.08114850795675,2.0162534182677794,1,13,14,5,0.5082936951667425,23.64818181024883,350.95866716716614,1.3430602027267295,16,10,14,2,0.4941034103927654,24.12829604187792,355.19425947065986,1.547135570118603,17,29,26,21
SD,0.43321868012991166,21.281251198141344,361.50290129849736,1.099518520747034,18,20,12,3,0.5508312001856415,21.956493470737193,372.4167131393656,0.9451198435044131,18,9,27,32,0.5135255209206433,22.96041141772878,349.4911589973218,1.5953381952738086,13,14,15,22,0.4888276534273047,23.883967266433807,349.02873440507716,1.620453216316085,13,26,20,13
