all Averages:
winloss = 0.5
pts = 22.647859922178988
yards = 347.1887159533074
to = 1.5622568093385214
home Averages:
winloss = 0.5739299610894941
pts = 24.073929961089494
yards = 353.05058365758754
to = 1.4863813229571985
away Averages:
winloss = 0.4260700389105058
pts = 21.22178988326848
yards = 341.32684824902725
to = 1.6381322957198443
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 257
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
SF,0.6792031506512981,23.800699811222202,333.39910267083803,1.5173056166482346,7,12,19,14,0.3069107281457355,19.631314499683363,326.6687868029994,2.111927398845763,7,6,9,6,0.5164707905595375,23.07017951604363,338.4891394595199,1.5660447395872161,17,11,29,19,0.48544790348797795,23.58566687465143,349.563429676994,1.7565535576924858,17,25,20,2
SEA,0.7553836876716169,27.719579179085404,384.11396537655025,1.2889830349556537,3,4,7,7,0.23070647217870055,18.053122313785742,322.25291410584356,2.656996465725209,3,4,7,1,0.49804433755543,21.684057916986948,328.8267043801783,1.3545024610361316,21,27,32,5,0.5038495974131605,22.768390910531565,346.145955824359,1.7094808830401185,21,21,16,7
TB,0.2240188433760563,15.931215330985347,330.4983359400812,1.6578893058546385,31,31,23,21,0.7618964746217471,22.883893912012418,343.68722378870416,1.4402238346427212,31,18,13,23,0.5525926499250728,23.009555837926193,358.37877966203604,1.5804995521012315,5,12,3,21,0.44947612689603156,22.60310214958595,345.77387666363137,1.6889583294662875,5,18,15,8
NO,0.7094246264107189,28.92671270969671,394.60795483302184,1.2200186305351286,6,2,4,5,0.2764736137033363,21.353922587565002,370.97245272831265,1.9418014920240705,6,12,26,9,0.5422103708934993,22.951713992602173,344.204286998297,1.578949393842909,10,15,22,20,0.45975879425738597,22.34486794203812,361.4867837372699,1.6383471559913527,10,12,30,12
CAR,0.5199329470612828,22.270275228413297,333.835572490131,1.5158292891445158,12,18,18,13,0.4661314766294262,14.987066250994175,295.5921069740974,1.7944414396000452,12,1,2,12,0.45374611922911323,23.161338836316826,346.74204005317495,1.6866980671086473,27,8,18,28,0.5482220299247267,24.715976669966672,369.50068272078147,1.5186923981716784,27,30,32,21
DAL,0.48415826693155234,27.48928055670538,332.3843872019241,1.39192985745675,14,5,21,10,0.5019204502522023,24.66960419410424,406.036122855661,1.6587745062117119,14,25,32,17,0.5350504216783716,23.15205208226569,350.8736994016572,1.2956965490982495,11,9,13,4,0.46682099375996877,22.42059521785043,354.6432490269933,1.5454132074289482,11,14,24,19
NE,0.8352455937614152,25.787164911628878,368.3418709282993,1.3595272077952791,2,7,9,9,0.15067039236354735,18.299296100668585,362.00905723986284,2.0359139519240697,2,5,21,7,0.5628394009310059,21.59043619829392,338.7029147268855,1.5556969071096627,3,28,27,16,0.43927718578858055,21.30191381651907,344.22326469843256,1.4258504882307286,3,2,12,26
NYJ,0.410258127257384,16.41281748830055,323.045801820663,2.434496522191586,20,30,25,30,0.5760523231444677,22.625377484274598,301.4816432741042,0.5885596462338735,20,16,3,32,0.47746158991805265,22.95537282680955,353.89640314696874,1.652995795653044,23,14,7,27,0.5242605325246447,23.03604863778295,345.23166118153335,1.3987797386687228,23,23,13,28
STL,0.45832705533300366,21.344232130859787,305.6952501174003,0.8750871961213791,17,22,30,1,0.5273565392424108,23.698643914112058,378.9229980524443,1.8419052894255106,17,21,27,10,0.4451973882672853,22.637113523804018,344.273507549296,1.652322010734916,29,19,21,26,0.5571031119762081,24.16558814311,345.32127779368994,1.733313990214297,29,28,14,5
GB,0.7454521152973118,28.74120546767834,424.3868826824594,1.6034177469961786,5,3,1,19,0.24105795722410894,19.896290467769987,344.38180629910505,1.603762266602767,5,7,14,20,0.5431002024871056,22.969868770104924,346.2039535349142,1.264273495377088,9,13,19,2,0.4585389873899901,21.760890121329602,341.50336046959114,1.365650389581478,9,6,7,29
IND,0.6788186437037367,24.034157515808083,328.80649462638553,1.1401044289684934,8,10,24,3,0.3071626439827633,20.097280549012922,369.43600824513453,1.7818542701438893,8,8,24,13,0.5171477052465014,21.50847933428268,339.4497490973175,1.2941837806819854,16,30,26,3,0.48473841233193893,22.569618208160577,357.37199718685997,1.5169683544305734,16,17,28,22
