all Averages:
winloss = 0.5
pts = 22.733590733590734
yards = 346.35521235521236
to = 1.554054054054054
home Averages:
winloss = 0.5733590733590733
pts = 24.104247104247104
yards = 352.4864864864865
to = 1.4864864864864864
away Averages:
winloss = 0.4266409266409266
pts = 21.362934362934364
yards = 340.2239382239382
to = 1.6216216216216217
EMA Analyser with alpha = 0.1594692862154749 (N = 11.541599999999999, hl = 3.9999999999999996)
Number of games: 259
-----------------------------------------------------------------------------------------------------
Average home/away
team,off.winloss,off.pts,off.yards,off.to,off.rankOfwinloss,off.rankOfpts,off.rankOfyards,off.rankOfto,def.winloss,def.pts,def.yards,def.to,def.rankOfwinloss,def.rankOfpts,def.rankOfyards,def.rankOfto,oppoff.winloss,oppoff.pts,oppoff.yards,oppoff.to,oppoff.rankOfwinloss,oppoff.rankOfpts,oppoff.rankOfyards,oppoff.rankOfto,oppdef.winloss,oppdef.pts,oppdef.yards,oppdef.to,oppdef.rankOfwinloss,oppdef.rankOfpts,oppdef.rankOfyards,oppdef.rankOfto
MIN,0.2889036529557881,21.31817538525154,317.4411725827109,2.030566142084113,30,21,27,27,0.6973565852455577,27.15343399092115,365.7477000770797,1.440969405504032,30,30,23,22,0.4512595831713295,22.58038783700678,350.56066082348684,1.8605495262572396,29,20,13,31,0.5507209525131114,23.090491766838753,349.13462018352993,1.476458960474504,29,21,18,25
TB,0.16198389943290897,16.40820371531005,324.81642291657613,1.7287177121021657,31,31,21,22,0.8241217661110389,23.376315925349594,330.8269048442861,1.5246867680406646,31,18,11,18,0.5235386954987933,23.4827012337282,360.9875768930368,1.4796739991929269,12,11,3,12,0.47848062436671507,23.450578673485666,349.04950492106957,1.5181707603982657,12,25,17,21
TEN,0.39203111816603853,22.725879207785603,324.3130763588765,1.1717880286228566,22,15,22,5,0.594029155279243,24.132389043717943,359.65431878863944,1.7947488919607282,22,22,20,10,0.5914469972698024,22.59555760764688,337.7255729892688,1.4963954846610297,1,19,27,13,0.41061771469437214,19.656304410562626,321.9964169417791,1.793339309372986,1,1,1,3
IND,0.7585628896272927,25.840295410219177,326.8090820461465,1.0415659145391143,4,9,20,1,0.22804489875894846,19.808246268401803,367.1917130361025,1.9863012866173606,4,6,26,5,0.5658916106531657,23.571210316806066,347.87821975208385,1.301530548664528,4,9,19,2,0.43546169421576564,22.84706724926957,358.1327650649053,1.5869980955134304,3,19,25,14
DET,0.4959374303900944,26.059669546211108,392.95979699280326,1.4237893093503977,15,7,5,15,0.4899678782884903,24.058100788170265,385.423489918094,1.6153495565534135,15,21,31,15,0.5599353930076727,23.783696408469297,348.03951110236153,1.4398197520642646,5,6,18,8,0.442120391568915,21.99815054931075,340.9964202346406,1.6044772366154425,5,8,8,12
SEA,0.8176574575007104,29.583656848856915,381.85469551550005,1.2926317448251456,2,2,7,12,0.16803305497625895,18.486404517211714,311.1804249046461,2.529100242380018,2,4,5,1,0.4918605454220839,21.411134558790547,321.2228473080195,1.4746835245431917,21,29,32,11,0.5105258238324497,22.454163052845836,344.0087868054459,1.787108898471975,21,12,12,4
CHI,0.37797994002006996,24.940195610001894,340.4914823268364,1.3402753464642154,24,10,14,14,0.6080410583336504,28.877173303131208,366.70827546621297,1.8115998210665327,24,32,25,9,0.3872326397543572,21.484397604442982,356.5095008741571,2.0730488685423225,32,28,8,32,0.614707455147095,25.694222965008223,361.337437336173,1.602324114398462,32,32,29,13
CAR,0.6054694304247272,24.301607613192523,326.9726031710427,1.1668298875618763,10,13,19,4,0.3812028488220914,15.232548994811896,306.6513226139906,2.115496321943519,10,1,4,3,0.4717539260852207,23.508125112648912,341.25198866787076,1.5341801056788262,24,10,25,17,0.5296987800774167,23.92274542232107,367.36133242566257,1.6062430627885056,24,27,32,11
PIT,0.4664997278778883,18.161582287674953,338.3357656612682,2.0116108629429656,16,28,15,26,0.519257361080303,19.91514578454707,300.4259539657452,0.7878011298556002,16,7,2,31,0.5230385936484945,23.197981512073994,348.9968577759871,1.6631196059541176,13,15,15,25,0.4793293028027702,23.794936356373434,335.48169239468564,1.504040254437526,13,26,4,22
WAS,0.49812299276155997,24.551997180575775,400.6992092313287,1.253962523567589,14,12,3,11,0.48848654961754867,25.412579614783716,348.9005666847718,1.5282538549514002,14,25,15,16,0.4730798675626943,24.813460593934103,356.26002963460144,1.507493653701782,23,2,9,15,0.5285513639439836,24.439078945972994,347.8269841238668,1.6445739011876344,23,29,15,8
